# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:37
# parameter: seed = 1896481
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       3.431,     2,Finish(1),before,   1,   0,   0,   1,   0
       3.431,     2,Finish(1), after,   2,   0,   0,   0,   1
      13.158,     3,Finish(2),before,   1,   0,   0,   0,   1
      13.158,     3,Finish(2), after,   1,   0,   0,   0,   0
      53.011,     1,  Arrival,before,   0,   0,   0,   0,   0
      53.011,     1,  Arrival, after,   2,   0,   0,   1,   0
      70.400,     4,  Arrival,before,   1,   0,   0,   1,   0
      70.400,     4,  Arrival, after,   2,   1,   0,   1,   0
      74.531,     5,Finish(1),before,   1,   1,   0,   1,   0
      74.531,     5,Finish(1), after,   3,   0,   0,   1,   1
      75.097,     7,Finish(1),before,   2,   0,   0,   1,   1
      75.097,     7,Finish(1), after,   2,   0,   1,   0,   1
      88.484,     6,  Arrival,before,   1,   0,   1,   0,   1
      88.484,     6,  Arrival, after,   3,   0,   1,   1,   1
      91.111,     8,Finish(2),before,   2,   0,   1,   1,   1
      91.111,     8,Finish(2), after,   3,   0,   0,   1,   1
      94.343,    10,Finish(1),before,   2,   0,   0,   1,   1
      94.343,    10,Finish(1), after,   2,   0,   1,   0,   1
     106.001,    11,Finish(2),before,   1,   0,   1,   0,   1
     106.001,    11,Finish(2), after,   2,   0,   0,   0,   1
     122.156,    12,Finish(2),before,   1,   0,   0,   0,   1
     122.156,    12,Finish(2), after,   1,   0,   0,   0,   0
     140.212,     9,  Arrival,before,   0,   0,   0,   0,   0
     140.212,     9,  Arrival, after,   2,   0,   0,   1,   0
     142.978,    14,Finish(1),before,   1,   0,   0,   1,   0
     142.978,    14,Finish(1), after,   2,   0,   0,   0,   1
     157.686,    15,Finish(2),before,   1,   0,   0,   0,   1
     157.686,    15,Finish(2), after,   1,   0,   0,   0,   0
     193.983,    13,  Arrival,before,   0,   0,   0,   0,   0
     193.983,    13,  Arrival, after,   2,   0,   0,   1,   0
     205.766,    17,Finish(1),before,   1,   0,   0,   1,   0
