# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:36
# parameter: seed = 1896468
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      16.615,     2,Finish(1),before,   1,   0,   0,   1,   0
      16.615,     2,Finish(1), after,   2,   0,   0,   0,   1
      34.536,     3,Finish(2),before,   1,   0,   0,   0,   1
      34.536,     3,Finish(2), after,   1,   0,   0,   0,   0
      49.570,     1,  Arrival,before,   0,   0,   0,   0,   0
      49.570,     1,  Arrival, after,   2,   0,   0,   1,   0
      55.867,     5,Finish(1),before,   1,   0,   0,   1,   0
      55.867,     5,Finish(1), after,   2,   0,   0,   0,   1
      71.643,     6,Finish(2),before,   1,   0,   0,   0,   1
      71.643,     6,Finish(2), after,   1,   0,   0,   0,   0
      88.842,     4,  Arrival,before,   0,   0,   0,   0,   0
      88.842,     4,  Arrival, after,   2,   0,   0,   1,   0
      92.775,     8,Finish(1),before,   1,   0,   0,   1,   0
      92.775,     8,Finish(1), after,   2,   0,   0,   0,   1
     104.631,     9,Finish(2),before,   1,   0,   0,   0,   1
     104.631,     9,Finish(2), after,   1,   0,   0,   0,   0
     109.970,     7,  Arrival,before,   0,   0,   0,   0,   0
     109.970,     7,  Arrival, after,   2,   0,   0,   1,   0
     110.610,    11,Finish(1),before,   1,   0,   0,   1,   0
     110.610,    11,Finish(1), after,   2,   0,   0,   0,   1
     128.179,    12,Finish(2),before,   1,   0,   0,   0,   1
     128.179,    12,Finish(2), after,   1,   0,   0,   0,   0
     141.613,    10,  Arrival,before,   0,   0,   0,   0,   0
     141.613,    10,  Arrival, after,   2,   0,   0,   1,   0
     142.246,    14,Finish(1),before,   1,   0,   0,   1,   0
     142.246,    14,Finish(1), after,   2,   0,   0,   0,   1
     156.552,    15,Finish(2),before,   1,   0,   0,   0,   1
     156.552,    15,Finish(2), after,   1,   0,   0,   0,   0
     190.255,    13,  Arrival,before,   0,   0,   0,   0,   0
     190.255,    13,  Arrival, after,   2,   0,   0,   1,   0
     197.931,    17,Finish(1),before,   1,   0,   0,   1,   0
