# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:36
# parameter: seed = 1896468
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,16.614684555064297,34.5362728189565
2,49.57038791406802,49.57038791406802,55.866627622318084,71.64290393263884
3,88.84154005169519,88.84154005169519,92.77518724003016,104.63119356661758
4,109.97036796260744,109.97036796260744,110.60962358840612,128.17946051883962
5,141.6131552515976,141.6131552515976,142.24571005890644,156.55205793799266
6,190.25506340062037,190.25506340062037,197.9311637999386,215.32904663692332
7,218.04701712765393,218.04701712765393,220.3952496526713,240.0152313020353
8,244.30514652059986,244.30514652059986,247.63152758398562,260.9290475357785
9,273.7262291716485,273.7262291716485,281.5511027097553,296.9510821671275
10,330.07039349029463,330.07039349029463,336.22059658041076,349.60409907054225
11,357.48466963243754,357.48466963243754,365.97589155800875,385.8305539956293
12,378.5214356236087,378.5214356236087,385.8305539956293,393.71465969222135
13,390.8091666576449,390.8091666576449,406.7529924688691,419.23918991036635
14,406.19888235719196,406.7529924688691,419.23918991036635,433.1942594626486
15,451.8003866148371,451.8003866148371,455.9006696430225,470.5870983482919
16,497.25868785093445,497.25868785093445,524.107414659896,541.4621217791625
17,532.8864102096929,532.8864102096929,612.8700133930467,629.477276424002
18,582.3483270975656,612.8700133930467,629.477276424002,647.9847618367222
19,618.2652981468414,618.2652981468414,647.9847618367222,661.8891908988021
20,662.1265126502348,662.1265126502348,668.9019273719482,689.1656927444379
21,712.1942276762383,712.1942276762383,718.7991392887691,733.6986586015621
22,768.9907132301747,768.9907132301747,769.6004535800721,784.7829677425674
23,800.3209631731969,800.3209631731969,853.0407192036464,870.5805023405308
24,834.7628272711839,853.0407192036464,870.5805023405308,889.6813292871869
25,858.3105433713199,858.3105433713199,889.6813292871869,906.025475734684
26,901.6061139912458,901.6061139912458,906.025475734684,921.586366841159
27,932.7869702594594,932.7869702594594,942.9678811442492,956.4100061943459
28,983.9363438364555,983.9363438364555,994.3425549271929,1013.3952563133512
29,1010.1140596490657,1010.1140596490657,1016.5446237342846,1032.464780987177
30,1065.9276958063292,1065.9276958063292,1095.1712485534676,1110.2324822030505
31,1122.047538458851,1122.047538458851,1128.7354435481168,1140.8304588686447
32,1159.7310094181823,1159.7310094181823,1171.1502952087371,1187.044355035521
33,1214.7561698938023,1214.7561698938023,1235.3608007057014,1254.6886822905913
34,1243.8687796829888,1243.8687796829888,1254.6886822905913,1274.392271111909
35,1279.524065518871,1279.524065518871,1291.3631406922173,1309.9392165381803
36,1329.1509609078166,1329.1509609078166,1342.2932103810301,1361.6151080397287
37,1347.5468274802006,1347.5468274802006,1361.6151080397287,1378.717399551266
38,1369.3595601371724,1369.3595601371724,1389.8569744753413,1401.1925625843714
39,1422.3369834158896,1422.3369834158896,1425.3785322074216,1438.1577748952607
40,1452.83073819324,1452.83073819324,1459.23189930949,1475.3463909826728
41,1492.4183122816876,1492.4183122816876,1501.6444700044701,1518.1964698716683
42,1533.9641739645722,1533.9641739645722,1537.841805515766,1551.2763444432114
43,1591.7929599858853,1591.7929599858853,1596.8154657233845,1610.6381604167884
44,1642.7424036904702,1642.7424036904702,1650.0875441974042,1662.650317571316
45,1694.1507926247991,1694.1507926247991,1699.0746207743796,1717.0759844326533
46,1709.6928404446267,1709.6928404446267,1718.581759268162,1741.8961867108026
47,1761.8813958336275,1761.8813958336275,1762.9327131561552,1777.8693983775224
48,1774.9209263781308,1774.9209263781308,1780.5061334182483,1799.0650430103171
49,1799.0518167994633,1799.0518167994633,1802.3207262436829,1815.5947010113034
50,1810.786470595466,1810.786470595466,1819.033879779018,1832.4271967046961
51,1854.7534126995363,1854.7534126995363,1881.3400663718376,1893.4586013864296
52,1910.860383180643,1910.860383180643,1921.5676869467509,1936.996380863659
53,1952.9264683583035,1952.9264683583035,1998.118322384349,2013.3849638259974
54,1976.8353185948156,1998.118322384349,2023.657439024443,2044.2448914455376
55,2007.667762111239,2023.657439024443,2044.2448914455376,2062.225120910525
56,2054.729245628609,2054.729245628609,2069.0527692736923,2078.60314214052
57,2078.5921864681923,2078.5921864681923,2083.3444655304734,2099.271901251452
58,2127.8407270835783,2127.8407270835783,2129.391838360724,2144.421611650614
59,2184.530424104196,2184.530424104196,2227.303078557725,2241.5205969024887
60,2196.783243245211,2227.303078557725,2242.922049504612,2254.5023388798368
61,2236.1308011995,2242.922049504612,2254.5023388798368,2265.7249747868127
62,2274.4162267583765,2274.4162267583765,2275.2047085049007,2291.850479181907
63,2321.807258766009,2321.807258766009,2341.84035646185,2355.7174673186596
64,2334.813824495998,2341.84035646185,2361.168165081166,2376.508562437193
65,2386.224563700921,2386.224563700921,2406.2837424792447,2421.8537584482788
66,2404.6447862609302,2406.2837424792447,2450.001781735718,2466.5718668453765
67,2445.494562284009,2450.001781735718,2466.5718668453765,2481.310263827612
68,2502.8060798047063,2502.8060798047063,2504.742745170376,2520.6276764272343
69,2547.2880241315174,2547.2880241315174,2557.2273081106055,2571.169741730379
70,2581.615693465689,2581.615693465689,2586.1391651254994,2600.319461545313
71,2636.8926387083065,2636.8926387083065,2639.525350654933,2655.041100931124
72,2692.60272541254,2692.60272541254,2700.289506937198,2719.069507526311
73,2713.917999371011,2713.917999371011,2725.005662089551,2737.3876507879845
74,2763.18577826558,2763.18577826558,2784.776060845118,2800.3144247253476
75,2800.5858551024867,2800.5858551024867,2809.2803465551942,2822.7032752209348
76,2824.0737167189163,2824.0737167189163,2838.636267181229,2852.878959998077
77,2861.831716883221,2861.831716883221,2862.5267723053216,2879.437383788508
78,2877.3612221153903,2877.3612221153903,2886.352715892475,2900.242842437815
79,2904.969564276475,2904.969564276475,2912.5394977768633,2926.5357089036147
80,2959.51944827415,2959.51944827415,2971.204976301486,2990.064903173299
81,3014.696950728485,3014.696950728485,3020.625030488632,3032.770325026626
82,3064.0242284931664,3064.0242284931664,3073.405328815462,3090.971394292996
83,3108.5762968747376,3108.5762968747376,3120.1549720750763,3130.0898692835135
84,3136.4052410239424,3136.4052410239424,3176.5432982433226,3199.927687574177
85,3185.013435845816,3185.013435845816,3226.653001975518,3241.076496953315
86,3202.97002217144,3226.653001975518,3241.076496953315,3254.2797580029146
87,3219.1169434779467,3226.917031404276,3254.2797580029146,3270.0747339715563
88,3248.372032035747,3248.372032035747,3270.0747339715563,3287.125857282687
89,3263.7478442592706,3263.7478442592706,3297.459525542767,3313.950704758322
90,3302.869116463126,3302.869116463126,3313.950704758322,3333.425550008156
91,3330.6190553784054,3330.6190553784054,3335.957278239989,3354.000793989739
92,3348.8369548347564,3348.8369548347564,3354.000793989739,3371.608431122527
93,3365.8968034551453,3365.8968034551453,3371.608431122527,3386.2883744682526
94,3418.576018886071,3418.576018886071,3418.721497948753,3433.8694358138473
95,3439.639681381844,3439.639681381844,3455.8954306240807,3471.6833303679978
96,3474.0955477456773,3474.0955477456773,3497.14479066193,3513.7458891188508
97,3531.597124727806,3531.597124727806,3543.712059655917,3561.408198450676
98,3589.344692052029,3589.344692052029,3599.274455796871,3617.3748663634224
99,3625.620151901198,3625.620151901198,3641.8820894278824,3666.3726993267865
100,3677.4397465748953,3677.4397465748953,3679.750170348034,3693.7737658976366
101,3722.2573785034524,3722.2573785034524,3729.4859246647557,3745.710473902514
