# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:44
# parameter: seed = 1896586
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      32.931,     2,Finish(1),before,   1,   0,   0,   1,   0
      32.931,     2,Finish(1), after,   2,   0,   0,   0,   1
      49.992,     3,Finish(2),before,   1,   0,   0,   0,   1
      49.992,     3,Finish(2), after,   1,   0,   0,   0,   0
      51.265,     1,  Arrival,before,   0,   0,   0,   0,   0
      51.265,     1,  Arrival, after,   2,   0,   0,   1,   0
      56.148,     5,Finish(1),before,   1,   0,   0,   1,   0
      56.148,     5,Finish(1), after,   2,   0,   0,   0,   1
      69.821,     6,Finish(2),before,   1,   0,   0,   0,   1
      69.821,     6,Finish(2), after,   1,   0,   0,   0,   0
      76.525,     4,  Arrival,before,   0,   0,   0,   0,   0
      76.525,     4,  Arrival, after,   2,   0,   0,   1,   0
      87.265,     8,Finish(1),before,   1,   0,   0,   1,   0
      87.265,     8,Finish(1), after,   2,   0,   0,   0,   1
     102.381,     9,Finish(2),before,   1,   0,   0,   0,   1
     102.381,     9,Finish(2), after,   1,   0,   0,   0,   0
     131.733,     7,  Arrival,before,   0,   0,   0,   0,   0
     131.733,     7,  Arrival, after,   2,   0,   0,   1,   0
     150.286,    11,Finish(1),before,   1,   0,   0,   1,   0
     150.286,    11,Finish(1), after,   2,   0,   0,   0,   1
     167.628,    12,Finish(2),before,   1,   0,   0,   0,   1
     167.628,    12,Finish(2), after,   1,   0,   0,   0,   0
     187.142,    10,  Arrival,before,   0,   0,   0,   0,   0
     187.142,    10,  Arrival, after,   2,   0,   0,   1,   0
     205.100,    14,Finish(1),before,   1,   0,   0,   1,   0
     205.100,    14,Finish(1), after,   2,   0,   0,   0,   1
     219.567,    13,  Arrival,before,   1,   0,   0,   0,   1
     219.567,    13,  Arrival, after,   3,   0,   0,   1,   1
     222.733,    15,Finish(2),before,   2,   0,   0,   1,   1
     222.733,    15,Finish(2), after,   2,   0,   0,   1,   0
     222.949,    17,Finish(1),before,   1,   0,   0,   1,   0
