# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:39
# parameter: seed = 1896514
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       7.302,     2,Finish(1),before,   1,   0,   0,   1,   0
       7.302,     2,Finish(1), after,   2,   0,   0,   0,   1
      20.351,     3,Finish(2),before,   1,   0,   0,   0,   1
      20.351,     3,Finish(2), after,   1,   0,   0,   0,   0
      46.977,     1,  Arrival,before,   0,   0,   0,   0,   0
      46.977,     1,  Arrival, after,   2,   0,   0,   1,   0
      76.940,     5,Finish(1),before,   1,   0,   0,   1,   0
      76.940,     5,Finish(1), after,   2,   0,   0,   0,   1
      91.585,     6,Finish(2),before,   1,   0,   0,   0,   1
      91.585,     6,Finish(2), after,   1,   0,   0,   0,   0
     101.125,     4,  Arrival,before,   0,   0,   0,   0,   0
     101.125,     4,  Arrival, after,   2,   0,   0,   1,   0
     104.494,     8,Finish(1),before,   1,   0,   0,   1,   0
     104.494,     8,Finish(1), after,   2,   0,   0,   0,   1
     120.151,     9,Finish(2),before,   1,   0,   0,   0,   1
     120.151,     9,Finish(2), after,   1,   0,   0,   0,   0
     139.607,     7,  Arrival,before,   0,   0,   0,   0,   0
     139.607,     7,  Arrival, after,   2,   0,   0,   1,   0
     144.912,    11,Finish(1),before,   1,   0,   0,   1,   0
     144.912,    11,Finish(1), after,   2,   0,   0,   0,   1
     163.908,    12,Finish(2),before,   1,   0,   0,   0,   1
     163.908,    12,Finish(2), after,   1,   0,   0,   0,   0
     191.904,    10,  Arrival,before,   0,   0,   0,   0,   0
     191.904,    10,  Arrival, after,   2,   0,   0,   1,   0
     201.729,    14,Finish(1),before,   1,   0,   0,   1,   0
     201.729,    14,Finish(1), after,   2,   0,   0,   0,   1
     203.309,    13,  Arrival,before,   1,   0,   0,   0,   1
     203.309,    13,  Arrival, after,   3,   0,   0,   1,   1
     204.429,    17,Finish(1),before,   2,   0,   0,   1,   1
     204.429,    17,Finish(1), after,   2,   0,   1,   0,   1
     215.788,    15,Finish(2),before,   1,   0,   1,   0,   1
