# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:42
# parameter: seed = 1896567
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,2.0147146315314957,15.530294350816218
2,31.46701444301036,31.46701444301036,39.0349374399899,56.712953082259205
3,85.01643107280368,85.01643107280368,89.73003453418065,102.57390495442743
4,111.14390713102931,111.14390713102931,120.78732935832998,136.41553796076445
5,135.0652625248636,135.0652625248636,139.55658761670065,159.9151404710391
6,152.60995948841546,152.60995948841546,166.8184738036905,184.28373437637586
7,194.1733111603234,194.1733111603234,211.5911871812476,226.63298700489244
8,239.76786430869154,239.76786430869154,242.041415249713,259.21604436258826
9,288.1099043535395,288.1099043535395,290.6718998483701,313.9854888032108
10,332.67004435133214,332.67004435133214,338.45112772598804,352.9677792069817
11,391.1272663759603,391.1272663759603,398.3042841672457,415.441636505145
12,443.96069950915523,443.96069950915523,450.02279516277906,463.9121410596211
13,456.7879594018951,456.7879594018951,484.7760158024607,494.9081878488895
14,483.3174175131164,484.7760158024607,494.9081878488895,511.1014280233069
15,529.0574790676118,529.0574790676118,554.2655797726829,570.5695097276773
16,569.2941989127303,569.2941989127303,573.0625506648527,588.2616360978806
17,592.0972749061594,592.0972749061594,615.988095114849,629.0369205212961
18,619.2769465206579,619.2769465206579,653.7614058477981,670.4130077990553
19,638.9212049641633,653.7614058477981,670.4130077990553,682.5034079894778
20,677.5246876677593,677.5246876677593,683.6785191667593,697.8479647662774
21,722.7798343351466,722.7798343351466,730.5447600682878,750.2421451778673
22,752.3786089078935,752.3786089078935,755.4719214245956,772.2895606746713
23,801.2304262772897,801.2304262772897,801.3923214184135,812.1027750937792
24,849.2264310027355,849.2264310027355,869.7690457558509,884.5170998362416
25,871.5484600531545,871.5484600531545,884.5170998362416,897.365793712252
26,918.6196154257503,918.6196154257503,925.1544805935422,939.5797720247514
27,955.8314402572544,955.8314402572544,977.9567707794804,994.9307267874173
28,1000.7604472887392,1000.7604472887392,1001.7063652228869,1020.4442399410206
29,1030.1620450660987,1030.1620450660987,1031.861576807214,1046.8020768501115
30,1062.7928382444145,1062.7928382444145,1064.278931057176,1079.2777803579975
31,1088.7456400802691,1088.7456400802691,1089.5782886913194,1101.514217730186
32,1145.1348070406736,1145.1348070406736,1146.25540091201,1167.0504631256217
33,1164.0966909470728,1164.0966909470728,1174.7432533387625,1185.079874484591
34,1204.2213015583322,1204.2213015583322,1221.674070953505,1237.1055414550135
35,1233.4943875091458,1233.4943875091458,1237.1055414550135,1249.8246966101606
36,1279.0352695323647,1279.0352695323647,1299.0504323147975,1315.8502364549724
37,1292.9680178790115,1299.0504323147975,1315.8502364549724,1331.742037502395
38,1340.1194716697817,1340.1194716697817,1349.1534888877295,1367.0437073186213
39,1367.640602312145,1367.640602312145,1373.8274989691313,1390.7324205519612
40,1381.5341574255654,1381.5341574255654,1390.7324205519612,1410.065087773797
41,1401.3175862849487,1401.3175862849487,1410.065087773797,1426.717845316049
42,1431.6838608690098,1431.6838608690098,1437.5697620354674,1461.7292192718096
43,1466.5001116446342,1466.5001116446342,1482.1045899704732,1493.4726394243105
