# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:42
# parameter: seed = 1896567
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       2.015,     2,Finish(1),before,   1,   0,   0,   1,   0
       2.015,     2,Finish(1), after,   2,   0,   0,   0,   1
      15.530,     3,Finish(2),before,   1,   0,   0,   0,   1
      15.530,     3,Finish(2), after,   1,   0,   0,   0,   0
      31.467,     1,  Arrival,before,   0,   0,   0,   0,   0
      31.467,     1,  Arrival, after,   2,   0,   0,   1,   0
      39.035,     5,Finish(1),before,   1,   0,   0,   1,   0
      39.035,     5,Finish(1), after,   2,   0,   0,   0,   1
      56.713,     6,Finish(2),before,   1,   0,   0,   0,   1
      56.713,     6,Finish(2), after,   1,   0,   0,   0,   0
      85.016,     4,  Arrival,before,   0,   0,   0,   0,   0
      85.016,     4,  Arrival, after,   2,   0,   0,   1,   0
      89.730,     8,Finish(1),before,   1,   0,   0,   1,   0
      89.730,     8,Finish(1), after,   2,   0,   0,   0,   1
     102.574,     9,Finish(2),before,   1,   0,   0,   0,   1
     102.574,     9,Finish(2), after,   1,   0,   0,   0,   0
     111.144,     7,  Arrival,before,   0,   0,   0,   0,   0
     111.144,     7,  Arrival, after,   2,   0,   0,   1,   0
     120.787,    11,Finish(1),before,   1,   0,   0,   1,   0
     120.787,    11,Finish(1), after,   2,   0,   0,   0,   1
     135.065,    10,  Arrival,before,   1,   0,   0,   0,   1
     135.065,    10,  Arrival, after,   3,   0,   0,   1,   1
     136.416,    12,Finish(2),before,   2,   0,   0,   1,   1
     136.416,    12,Finish(2), after,   2,   0,   0,   1,   0
     139.557,    14,Finish(1),before,   1,   0,   0,   1,   0
     139.557,    14,Finish(1), after,   2,   0,   0,   0,   1
     152.610,    13,  Arrival,before,   1,   0,   0,   0,   1
     152.610,    13,  Arrival, after,   3,   0,   0,   1,   1
     159.915,    15,Finish(2),before,   2,   0,   0,   1,   1
     159.915,    15,Finish(2), after,   2,   0,   0,   1,   0
     166.818,    17,Finish(1),before,   1,   0,   0,   1,   0
