# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896541
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.545,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.545,     2,Finish(1), after,   2,   0,   0,   0,   1
      17.946,     3,Finish(2),before,   1,   0,   0,   0,   1
      17.946,     3,Finish(2), after,   1,   0,   0,   0,   0
      24.585,     1,  Arrival,before,   0,   0,   0,   0,   0
      24.585,     1,  Arrival, after,   2,   0,   0,   1,   0
      25.695,     5,Finish(1),before,   1,   0,   0,   1,   0
      25.695,     5,Finish(1), after,   2,   0,   0,   0,   1
      36.987,     6,Finish(2),before,   1,   0,   0,   0,   1
      36.987,     6,Finish(2), after,   1,   0,   0,   0,   0
      73.900,     4,  Arrival,before,   0,   0,   0,   0,   0
      73.900,     4,  Arrival, after,   2,   0,   0,   1,   0
      81.487,     8,Finish(1),before,   1,   0,   0,   1,   0
      81.487,     8,Finish(1), after,   2,   0,   0,   0,   1
      99.441,     9,Finish(2),before,   1,   0,   0,   0,   1
      99.441,     9,Finish(2), after,   1,   0,   0,   0,   0
     100.654,     7,  Arrival,before,   0,   0,   0,   0,   0
     100.654,     7,  Arrival, after,   2,   0,   0,   1,   0
     106.570,    11,Finish(1),before,   1,   0,   0,   1,   0
     106.570,    11,Finish(1), after,   2,   0,   0,   0,   1
     124.666,    12,Finish(2),before,   1,   0,   0,   0,   1
     124.666,    12,Finish(2), after,   1,   0,   0,   0,   0
     142.118,    10,  Arrival,before,   0,   0,   0,   0,   0
     142.118,    10,  Arrival, after,   2,   0,   0,   1,   0
     151.673,    14,Finish(1),before,   1,   0,   0,   1,   0
     151.673,    14,Finish(1), after,   2,   0,   0,   0,   1
     164.667,    15,Finish(2),before,   1,   0,   0,   0,   1
     164.667,    15,Finish(2), after,   1,   0,   0,   0,   0
     197.406,    13,  Arrival,before,   0,   0,   0,   0,   0
     197.406,    13,  Arrival, after,   2,   0,   0,   1,   0
     203.620,    17,Finish(1),before,   1,   0,   0,   1,   0
