# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896543
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,2.4059548222466076,18.90066836057098
2,14.037529223872824,14.037529223872824,18.90066836057098,35.040079826180346
3,45.21645749192889,45.21645749192889,59.84810880915782,78.6588008549777
4,97.76850369626037,97.76850369626037,98.36342841272017,114.99575129832881
5,152.6526304586173,152.6526304586173,154.46148243214148,171.4012187442261
6,179.19059073985906,179.19059073985906,211.35589940374783,229.8226066103896
7,215.9608762433126,215.9608762433126,231.52981213192433,242.73372726091873
8,251.04962969339658,251.04962969339658,254.8560710644569,271.5095026318678
9,283.1684073397478,283.1684073397478,307.88391886650385,324.5393495016466
10,333.4943714153231,333.4943714153231,339.37488625927983,355.8926910831739
11,390.24421261995485,390.24421261995485,394.2406144041755,407.7440411773736
12,407.7329991732652,407.7329991732652,412.151864595352,426.0663367970293
13,462.611282372986,462.611282372986,472.2533480243551,487.74656935345484
14,508.25837868743787,508.25837868743787,516.9603007531346,534.0222319909084
15,556.2509951176311,556.2509951176311,593.5028875356513,605.1536604794084
16,584.662643784805,593.5028875356513,605.1536604794084,623.2910759041342
17,599.410976759476,599.410976759476,624.6491417949219,640.4265875841859
18,653.6538047567739,653.6538047567739,656.9169671306919,673.6215779649096
19,672.7641389069427,672.7641389069427,676.6610852170339,694.8872693257151
20,704.9851754605443,704.9851754605443,707.6506350496678,724.8714634175783
21,733.9524599118384,733.9524599118384,736.1318622380314,754.4277682471626
22,758.5082553285101,758.5082553285101,774.5866502889556,793.9250188284866
23,788.5669654430277,788.5669654430277,793.9407723292592,815.1381744067226
24,830.3680269860592,830.3680269860592,839.8884489156562,860.2155791268979
25,860.6286631629331,860.6286631629331,895.0439707520313,913.3074236199186
26,880.3020055350801,895.0439707520313,913.3074236199186,925.7570715570928
27,909.2453587318274,909.2453587318274,968.0877950128036,980.8737367667561
28,948.153414599624,968.0877950128036,980.8737367667561,999.8894889568783
29,996.0123606115844,996.0123606115844,1001.6762648765337,1016.7603944822819
30,1042.9905096635844,1042.9905096635844,1044.831225490146,1063.525539185691
31,1086.5881933602357,1086.5881933602357,1097.774486927138,1116.0800102761918
32,1103.4428033394463,1103.4428033394463,1116.0800102761918,1134.578595207838
33,1160.5092262389005,1160.5092262389005,1170.3502163884227,1184.258243377759
34,1213.4460706229322,1213.4460706229322,1215.4953176947306,1230.1488752214664
35,1247.8776214726747,1247.8776214726747,1250.710714948127,1264.9729763350551
36,1264.9858016903186,1264.9858016903186,1265.6580597096297,1278.6411308785705
37,1281.4102454259894,1281.4102454259894,1285.1897167699583,1296.9725429189607
38,1322.4189789418992,1322.4189789418992,1328.870428406588,1345.1757903787902
39,1348.8614551778599,1348.8614551778599,1353.4333576738052,1369.5577959483337
40,1390.7034047876625,1390.7034047876625,1402.0161558469224,1416.5008391047047
41,1443.1207749249538,1443.1207749249538,1443.9087738765718,1462.6059085938143
42,1498.379393207606,1498.379393207606,1511.6365972599895,1528.4295838019307
43,1552.9821705496036,1552.9821705496036,1554.4702036780652,1568.6938108903578
44,1583.3504573345126,1583.3504573345126,1591.3238134243265,1606.3416095954387
45,1618.6692811793978,1618.6692811793978,1638.9370240150624,1659.1262848475444
46,1675.689930227554,1675.689930227554,1693.7312559249065,1710.9546234571133
47,1702.5879717702421,1702.5879717702421,1726.7888796310356,1740.5638853449377
48,1746.270618699115,1746.270618699115,1771.7454884195658,1785.0596975453104
49,1783.3184317146174,1783.3184317146174,1785.3551433025034,1800.5605198055903
50,1798.7977082655113,1798.7977082655113,1801.1963625774347,1815.7834045440443
51,1835.139471528308,1835.139471528308,1839.776939553336,1855.794295490993
52,1882.8295592733114,1882.8295592733114,1887.8700940352264,1906.6051391528579
53,1919.7865914698061,1919.7865914698061,1959.8559194021714,1974.3477951047935
54,1937.1987348871792,1959.8559194021714,1974.3477951047935,1985.6980174680562
55,1964.7201481562051,1964.7201481562051,1993.3561275352304,2010.2353203954253
56,2009.3480772070834,2009.3480772070834,2025.1542579453305,2044.3819230288623
57,2062.1732352862205,2062.1732352862205,2072.855094108746,2084.638409627664
58,2093.3565849385855,2093.3565849385855,2096.480112437839,2117.9279518082085
59,2116.952584866133,2116.952584866133,2138.5846967012835,2151.5012999326855
60,2158.366370226355,2158.366370226355,2214.327907111011,2229.9561801746227
61,2176.5350682556486,2214.327907111011,2229.9561801746227,2245.0064272433538
62,2206.3360305595734,2218.8708880652875,2245.0064272433538,2261.447924416679
63,2234.4404193427736,2234.4404193427736,2261.447924416679,2277.4336900287803
64,2249.4371552075067,2252.8795417672973,2277.4336900287803,2294.343220312682
65,2306.3061159517956,2306.3061159517956,2314.0902363965006,2326.160680357596
66,2325.5748772921806,2325.5748772921806,2338.260138978869,2358.9483807924266
67,2375.5114791206524,2375.5114791206524,2378.9602204778944,2392.9057910847073
68,2422.4224588524226,2422.4224588524226,2429.2385003215445,2447.735736566184
69,2447.031906691888,2447.031906691888,2453.1983900786663,2470.2036235735436
70,2471.2380590115154,2471.2380590115154,2483.1700423103807,2499.1144872834943
71,2528.1988686141385,2528.1988686141385,2529.36641746682,2542.9921990148864
72,2561.162850984392,2561.162850984392,2567.086392304741,2586.097023623046
73,2598.6086370986095,2598.6086370986095,2608.6079472271445,2625.1662110917573
74,2624.9358907686055,2624.9358907686055,2628.779041143128,2645.9260559075915
75,2658.497975676387,2658.497975676387,2667.9592667711186,2690.2935033136055
76,2677.058473583173,2677.058473583173,2690.2935033136055,2705.915071230511
77,2695.715201488019,2695.715201488019,2705.915071230511,2726.4613754775405
78,2748.946848207322,2748.946848207322,2760.9306546378493,2780.9580936542734
79,2783.0139602481395,2783.0139602481395,2783.464001213655,2794.4646080125103
80,2817.5589152112957,2817.5589152112957,2830.9231562334458,2848.329611852618
81,2832.9039824380925,2832.9039824380925,2848.329611852618,2859.7722764651985
82,2861.104566321928,2861.104566321928,2896.531021599951,2913.7172462545523
83,2914.37752851488,2914.37752851488,2922.871908303251,2936.7584711837317
84,2928.5030308040227,2928.5030308040227,2942.5724423504826,2956.6627636770486
85,2983.0406278883706,2983.0406278883706,2984.8824457743312,2998.2834151776824
86,3011.246266014165,3011.246266014165,3020.350662716776,3038.086728615748
87,3032.5738576134277,3032.5738576134277,3040.0100036573326,3056.9238767068978
88,3043.9249748040515,3043.9249748040515,3061.723991353337,3074.553375342375
89,3056.0256681347046,3061.723991353337,3074.553375342375,3090.015829393575
90,3072.9399970124537,3072.9399970124537,3101.5274461190625,3117.193683079417
91,3109.176732068008,3109.176732068008,3117.193683079417,3133.5896546062736
92,3147.7603337292458,3147.7603337292458,3150.7112536666154,3159.70756860284
93,3198.9074329793993,3198.9074329793993,3217.018030755643,3230.237394168018
94,3254.8433228024624,3254.8433228024624,3258.365308348204,3272.837887516862
95,3273.269285939514,3273.269285939514,3286.6980275368865,3310.224692929014
96,3302.310757916018,3302.310757916018,3338.9870615796735,3355.426561069856
97,3345.675420431125,3345.675420431125,3356.0932428709752,3370.3754638590667
98,3365.379500961216,3365.379500961216,3370.3754638590667,3385.2317344993567
