# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:45
# parameter: seed = 1896605
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       6.329,     2,Finish(1),before,   1,   0,   0,   1,   0
       6.329,     2,Finish(1), after,   2,   0,   0,   0,   1
      20.505,     3,Finish(2),before,   1,   0,   0,   0,   1
      20.505,     3,Finish(2), after,   1,   0,   0,   0,   0
      23.064,     1,  Arrival,before,   0,   0,   0,   0,   0
      23.064,     1,  Arrival, after,   2,   0,   0,   1,   0
      25.617,     5,Finish(1),before,   1,   0,   0,   1,   0
      25.617,     5,Finish(1), after,   2,   0,   0,   0,   1
      35.255,     6,Finish(2),before,   1,   0,   0,   0,   1
      35.255,     6,Finish(2), after,   1,   0,   0,   0,   0
      68.033,     4,  Arrival,before,   0,   0,   0,   0,   0
      68.033,     4,  Arrival, after,   2,   0,   0,   1,   0
      83.431,     8,Finish(1),before,   1,   0,   0,   1,   0
      83.431,     8,Finish(1), after,   2,   0,   0,   0,   1
     100.818,     9,Finish(2),before,   1,   0,   0,   0,   1
     100.818,     9,Finish(2), after,   1,   0,   0,   0,   0
     104.322,     7,  Arrival,before,   0,   0,   0,   0,   0
     104.322,     7,  Arrival, after,   2,   0,   0,   1,   0
     127.206,    11,Finish(1),before,   1,   0,   0,   1,   0
     127.206,    11,Finish(1), after,   2,   0,   0,   0,   1
     143.219,    10,  Arrival,before,   1,   0,   0,   0,   1
     143.219,    10,  Arrival, after,   3,   0,   0,   1,   1
     144.359,    12,Finish(2),before,   2,   0,   0,   1,   1
     144.359,    12,Finish(2), after,   2,   0,   0,   1,   0
     156.990,    14,Finish(1),before,   1,   0,   0,   1,   0
     156.990,    14,Finish(1), after,   2,   0,   0,   0,   1
     177.304,    15,Finish(2),before,   1,   0,   0,   0,   1
     177.304,    15,Finish(2), after,   1,   0,   0,   0,   0
     190.524,    13,  Arrival,before,   0,   0,   0,   0,   0
     190.524,    13,  Arrival, after,   2,   0,   0,   1,   0
     198.532,    17,Finish(1),before,   1,   0,   0,   1,   0
