# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:46
# parameter: seed = 1896623
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       5.826,     2,Finish(1),before,   1,   0,   0,   1,   0
       5.826,     2,Finish(1), after,   2,   0,   0,   0,   1
      20.043,     3,Finish(2),before,   1,   0,   0,   0,   1
      20.043,     3,Finish(2), after,   1,   0,   0,   0,   0
      24.136,     1,  Arrival,before,   0,   0,   0,   0,   0
      24.136,     1,  Arrival, after,   2,   0,   0,   1,   0
      29.455,     5,Finish(1),before,   1,   0,   0,   1,   0
      29.455,     5,Finish(1), after,   2,   0,   0,   0,   1
      49.883,     4,  Arrival,before,   1,   0,   0,   0,   1
      49.883,     4,  Arrival, after,   3,   0,   0,   1,   1
      50.804,     8,Finish(1),before,   2,   0,   0,   1,   1
      50.804,     8,Finish(1), after,   2,   0,   1,   0,   1
      52.298,     6,Finish(2),before,   1,   0,   1,   0,   1
      52.298,     6,Finish(2), after,   2,   0,   0,   0,   1
      67.025,     9,Finish(2),before,   1,   0,   0,   0,   1
      67.025,     9,Finish(2), after,   1,   0,   0,   0,   0
      78.353,     7,  Arrival,before,   0,   0,   0,   0,   0
      78.353,     7,  Arrival, after,   2,   0,   0,   1,   0
      94.028,    10,  Arrival,before,   1,   0,   0,   1,   0
      94.028,    10,  Arrival, after,   2,   1,   0,   1,   0
     113.682,    11,Finish(1),before,   1,   1,   0,   1,   0
     113.682,    11,Finish(1), after,   3,   0,   0,   1,   1
     116.968,    13,Finish(1),before,   2,   0,   0,   1,   1
     116.968,    13,Finish(1), after,   2,   0,   1,   0,   1
     129.147,    14,Finish(2),before,   1,   0,   1,   0,   1
     129.147,    14,Finish(2), after,   2,   0,   0,   0,   1
     147.458,    15,Finish(2),before,   1,   0,   0,   0,   1
     147.458,    15,Finish(2), after,   1,   0,   0,   0,   0
     149.672,    12,  Arrival,before,   0,   0,   0,   0,   0
     149.672,    12,  Arrival, after,   2,   0,   0,   1,   0
     151.782,    17,Finish(1),before,   1,   0,   0,   1,   0
