# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:37
# parameter: seed = 1896484
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.239,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.239,     2,Finish(1), after,   2,   0,   0,   0,   1
      13.190,     1,  Arrival,before,   1,   0,   0,   0,   1
      13.190,     1,  Arrival, after,   3,   0,   0,   1,   1
      16.648,     3,Finish(2),before,   2,   0,   0,   1,   1
      16.648,     3,Finish(2), after,   2,   0,   0,   1,   0
      22.415,     5,Finish(1),before,   1,   0,   0,   1,   0
      22.415,     5,Finish(1), after,   2,   0,   0,   0,   1
      35.634,     6,Finish(2),before,   1,   0,   0,   0,   1
      35.634,     6,Finish(2), after,   1,   0,   0,   0,   0
      51.375,     4,  Arrival,before,   0,   0,   0,   0,   0
      51.375,     4,  Arrival, after,   2,   0,   0,   1,   0
      85.532,     8,Finish(1),before,   1,   0,   0,   1,   0
      85.532,     8,Finish(1), after,   2,   0,   0,   0,   1
      86.887,     7,  Arrival,before,   1,   0,   0,   0,   1
      86.887,     7,  Arrival, after,   3,   0,   0,   1,   1
     102.561,     9,Finish(2),before,   2,   0,   0,   1,   1
     102.561,     9,Finish(2), after,   2,   0,   0,   1,   0
     104.039,    11,Finish(1),before,   1,   0,   0,   1,   0
     104.039,    11,Finish(1), after,   2,   0,   0,   0,   1
     118.734,    12,Finish(2),before,   1,   0,   0,   0,   1
     118.734,    12,Finish(2), after,   1,   0,   0,   0,   0
     129.888,    10,  Arrival,before,   0,   0,   0,   0,   0
     129.888,    10,  Arrival, after,   2,   0,   0,   1,   0
     135.584,    14,Finish(1),before,   1,   0,   0,   1,   0
     135.584,    14,Finish(1), after,   2,   0,   0,   0,   1
     157.162,    15,Finish(2),before,   1,   0,   0,   0,   1
     157.162,    15,Finish(2), after,   1,   0,   0,   0,   0
     188.535,    13,  Arrival,before,   0,   0,   0,   0,   0
     188.535,    13,  Arrival, after,   2,   0,   0,   1,   0
     194.099,    17,Finish(1),before,   1,   0,   0,   1,   0
