# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896549
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
     563.593,    50,Finish(1),before,   2,   0,   0,   1,   1
     563.593,    50,Finish(1), after,   2,   0,   1,   0,   1
     568.665,    48,Finish(2),before,   1,   0,   1,   0,   1
     568.665,    48,Finish(2), after,   2,   0,   0,   0,   1
     584.383,    51,Finish(2),before,   1,   0,   0,   0,   1
     584.383,    51,Finish(2), after,   1,   0,   0,   0,   0
     586.019,    49,  Arrival,before,   0,   0,   0,   0,   0
     586.019,    49,  Arrival, after,   2,   0,   0,   1,   0
     590.452,    53,Finish(1),before,   1,   0,   0,   1,   0
     590.452,    53,Finish(1), after,   2,   0,   0,   0,   1
     608.937,    54,Finish(2),before,   1,   0,   0,   0,   1
     608.937,    54,Finish(2), after,   1,   0,   0,   0,   0
     621.214,    52,  Arrival,before,   0,   0,   0,   0,   0
     621.214,    52,  Arrival, after,   2,   0,   0,   1,   0
     634.924,    56,Finish(1),before,   1,   0,   0,   1,   0
     634.924,    56,Finish(1), after,   2,   0,   0,   0,   1
     652.114,    57,Finish(2),before,   1,   0,   0,   0,   1
     652.114,    57,Finish(2), after,   1,   0,   0,   0,   0
     678.189,    55,  Arrival,before,   0,   0,   0,   0,   0
     678.189,    55,  Arrival, after,   2,   0,   0,   1,   0
     682.718,    59,Finish(1),before,   1,   0,   0,   1,   0
     682.718,    59,Finish(1), after,   2,   0,   0,   0,   1
     697.226,    60,Finish(2),before,   1,   0,   0,   0,   1
     697.226,    60,Finish(2), after,   1,   0,   0,   0,   0
     708.120,    58,  Arrival,before,   0,   0,   0,   0,   0
     708.120,    58,  Arrival, after,   2,   0,   0,   1,   0
     711.848,    62,Finish(1),before,   1,   0,   0,   1,   0
     711.848,    62,Finish(1), after,   2,   0,   0,   0,   1
     724.806,    63,Finish(2),before,   1,   0,   0,   0,   1
     724.806,    63,Finish(2), after,   1,   0,   0,   0,   0
     764.357,    61,  Arrival,before,   0,   0,   0,   0,   0
     764.357,    61,  Arrival, after,   2,   0,   0,   1,   0
     783.707,    64,  Arrival,before,   1,   0,   0,   1,   0
     783.707,    64,  Arrival, after,   2,   1,   0,   1,   0
     796.930,    65,Finish(1),before,   1,   1,   0,   1,   0
     796.930,    65,Finish(1), after,   3,   0,   0,   1,   1
     806.353,    66,  Arrival,before,   2,   0,   0,   1,   1
     806.353,    66,  Arrival, after,   3,   1,   0,   1,   1
     809.599,    67,Finish(1),before,   2,   1,   0,   1,   1
     809.599,    67,Finish(1), after,   3,   0,   1,   1,   1
     813.266,    68,Finish(2),before,   2,   0,   1,   1,   1
     813.266,    68,Finish(2), after,   3,   0,   0,   1,   1
     817.256,    70,Finish(1),before,   2,   0,   0,   1,   1
     817.256,    70,Finish(1), after,   2,   0,   1,   0,   1
     828.970,    71,Finish(2),before,   1,   0,   1,   0,   1
     828.970,    71,Finish(2), after,   2,   0,   0,   0,   1
     843.362,    72,Finish(2),before,   1,   0,   0,   0,   1
     843.362,    72,Finish(2), after,   1,   0,   0,   0,   0
     859.643,    69,  Arrival,before,   0,   0,   0,   0,   0
     859.643,    69,  Arrival, after,   2,   0,   0,   1,   0
     864.993,    74,Finish(1),before,   1,   0,   0,   1,   0
     864.993,    74,Finish(1), after,   2,   0,   0,   0,   1
     879.785,    75,Finish(2),before,   1,   0,   0,   0,   1
     879.785,    75,Finish(2), after,   1,   0,   0,   0,   0
     904.486,    73,  Arrival,before,   0,   0,   0,   0,   0
     904.486,    73,  Arrival, after,   2,   0,   0,   1,   0
     907.895,    77,Finish(1),before,   1,   0,   0,   1,   0
     907.895,    77,Finish(1), after,   2,   0,   0,   0,   1
     922.713,    78,Finish(2),before,   1,   0,   0,   0,   1
     922.713,    78,Finish(2), after,   1,   0,   0,   0,   0
     928.727,    76,  Arrival,before,   0,   0,   0,   0,   0
     928.727,    76,  Arrival, after,   2,   0,   0,   1,   0
     936.033,    80,Finish(1),before,   1,   0,   0,   1,   0
     936.033,    80,Finish(1), after,   2,   0,   0,   0,   1
     949.995,    81,Finish(2),before,   1,   0,   0,   0,   1
     949.995,    81,Finish(2), after,   1,   0,   0,   0,   0
     983.725,    79,  Arrival,before,   0,   0,   0,   0,   0
     983.725,    79,  Arrival, after,   2,   0,   0,   1,   0
     984.273,    83,Finish(1),before,   1,   0,   0,   1,   0
     984.273,    83,Finish(1), after,   2,   0,   0,   0,   1
    1001.747,    84,Finish(2),before,   1,   0,   0,   0,   1
    1001.747,    84,Finish(2), after,   1,   0,   0,   0,   0
    1003.116,    82,  Arrival,before,   0,   0,   0,   0,   0
    1003.116,    82,  Arrival, after,   2,   0,   0,   1,   0
    1009.128,    86,Finish(1),before,   1,   0,   0,   1,   0
    1009.128,    86,Finish(1), after,   2,   0,   0,   0,   1
    1029.266,    87,Finish(2),before,   1,   0,   0,   0,   1
    1029.266,    87,Finish(2), after,   1,   0,   0,   0,   0
    1057.232,    85,  Arrival,before,   0,   0,   0,   0,   0
    1057.232,    85,  Arrival, after,   2,   0,   0,   1,   0
    1072.190,    89,Finish(1),before,   1,   0,   0,   1,   0
    1072.190,    89,Finish(1), after,   2,   0,   0,   0,   1
    1087.902,    90,Finish(2),before,   1,   0,   0,   0,   1
    1087.902,    90,Finish(2), after,   1,   0,   0,   0,   0
    1110.820,    88,  Arrival,before,   0,   0,   0,   0,   0
    1110.820,    88,  Arrival, after,   2,   0,   0,   1,   0
    1115.436,    92,Finish(1),before,   1,   0,   0,   1,   0
    1115.436,    92,Finish(1), after,   2,   0,   0,   0,   1
    1134.187,    93,Finish(2),before,   1,   0,   0,   0,   1
    1134.187,    93,Finish(2), after,   1,   0,   0,   0,   0
    1164.210,    91,  Arrival,before,   0,   0,   0,   0,   0
    1164.210,    91,  Arrival, after,   2,   0,   0,   1,   0
    1167.833,    95,Finish(1),before,   1,   0,   0,   1,   0
    1167.833,    95,Finish(1), after,   2,   0,   0,   0,   1
    1185.283,    96,Finish(2),before,   1,   0,   0,   0,   1
    1185.283,    96,Finish(2), after,   1,   0,   0,   0,   0
    1203.693,    94,  Arrival,before,   0,   0,   0,   0,   0
    1203.693,    94,  Arrival, after,   2,   0,   0,   1,   0
    1210.542,    98,Finish(1),before,   1,   0,   0,   1,   0
    1210.542,    98,Finish(1), after,   2,   0,   0,   0,   1
    1228.961,    99,Finish(2),before,   1,   0,   0,   0,   1
    1228.961,    99,Finish(2), after,   1,   0,   0,   0,   0
    1230.346,    97,  Arrival,before,   0,   0,   0,   0,   0
    1230.346,    97,  Arrival, after,   2,   0,   0,   1,   0
    1238.604,   101,Finish(1),before,   1,   0,   0,   1,   0
    1238.604,   101,Finish(1), after,   2,   0,   0,   0,   1
    1254.533,   102,Finish(2),before,   1,   0,   0,   0,   1
    1254.533,   102,Finish(2), after,   1,   0,   0,   0,   0
    1271.733,   100,  Arrival,before,   0,   0,   0,   0,   0
    1271.733,   100,  Arrival, after,   2,   0,   0,   1,   0
    1272.646,   104,Finish(1),before,   1,   0,   0,   1,   0
    1272.646,   104,Finish(1), after,   2,   0,   0,   0,   1
    1286.693,   105,Finish(2),before,   1,   0,   0,   0,   1
    1286.693,   105,Finish(2), after,   1,   0,   0,   0,   0
    1305.280,   103,  Arrival,before,   0,   0,   0,   0,   0
    1305.280,   103,  Arrival, after,   2,   0,   0,   1,   0
    1320.432,   107,Finish(1),before,   1,   0,   0,   1,   0
    1320.432,   107,Finish(1), after,   2,   0,   0,   0,   1
    1337.578,   108,Finish(2),before,   1,   0,   0,   0,   1
    1337.578,   108,Finish(2), after,   1,   0,   0,   0,   0
    1347.824,   106,  Arrival,before,   0,   0,   0,   0,   0
    1347.824,   106,  Arrival, after,   2,   0,   0,   1,   0
    1364.922,   110,Finish(1),before,   1,   0,   0,   1,   0
    1364.922,   110,Finish(1), after,   2,   0,   0,   0,   1
    1386.584,   109,  Arrival,before,   1,   0,   0,   0,   1
    1386.584,   109,  Arrival, after,   3,   0,   0,   1,   1
    1387.354,   111,Finish(2),before,   2,   0,   0,   1,   1
    1387.354,   111,Finish(2), after,   2,   0,   0,   1,   0
    1399.875,   112,  Arrival,before,   1,   0,   0,   1,   0
    1399.875,   112,  Arrival, after,   2,   1,   0,   1,   0
    1432.251,   113,Finish(1),before,   1,   1,   0,   1,   0
    1432.251,   113,Finish(1), after,   3,   0,   0,   1,   1
    1437.480,   115,Finish(1),before,   2,   0,   0,   1,   1
    1437.480,   115,Finish(1), after,   2,   0,   1,   0,   1
    1450.115,   116,Finish(2),before,   1,   0,   1,   0,   1
    1450.115,   116,Finish(2), after,   2,   0,   0,   0,   1
    1455.502,   114,  Arrival,before,   1,   0,   0,   0,   1
    1455.502,   114,  Arrival, after,   3,   0,   0,   1,   1
    1459.297,   119,Finish(1),before,   2,   0,   0,   1,   1
    1459.297,   119,Finish(1), after,   2,   0,   1,   0,   1
    1466.895,   117,Finish(2),before,   1,   0,   1,   0,   1
    1466.895,   117,Finish(2), after,   2,   0,   0,   0,   1
    1480.146,   118,  Arrival,before,   1,   0,   0,   0,   1
    1480.146,   118,  Arrival, after,   3,   0,   0,   1,   1
    1481.787,   122,Finish(1),before,   2,   0,   0,   1,   1
    1481.787,   122,Finish(1), after,   2,   0,   1,   0,   1
    1483.621,   120,Finish(2),before,   1,   0,   1,   0,   1
    1483.621,   120,Finish(2), after,   2,   0,   0,   0,   1
    1496.072,   123,Finish(2),before,   1,   0,   0,   0,   1
    1496.072,   123,Finish(2), after,   1,   0,   0,   0,   0
    1526.901,   121,  Arrival,before,   0,   0,   0,   0,   0
    1526.901,   121,  Arrival, after,   2,   0,   0,   1,   0
    1551.722,   125,Finish(1),before,   1,   0,   0,   1,   0
    1551.722,   125,Finish(1), after,   2,   0,   0,   0,   1
    1569.726,   124,  Arrival,before,   1,   0,   0,   0,   1
    1569.726,   124,  Arrival, after,   3,   0,   0,   1,   1
    1571.355,   126,Finish(2),before,   2,   0,   0,   1,   1
    1571.355,   126,Finish(2), after,   2,   0,   0,   1,   0
    1585.513,   128,Finish(1),before,   1,   0,   0,   1,   0
    1585.513,   128,Finish(1), after,   2,   0,   0,   0,   1
    1594.608,   127,  Arrival,before,   1,   0,   0,   0,   1
    1594.608,   127,  Arrival, after,   3,   0,   0,   1,   1
    1600.244,   131,Finish(1),before,   2,   0,   0,   1,   1
    1600.244,   131,Finish(1), after,   2,   0,   1,   0,   1
    1601.152,   129,Finish(2),before,   1,   0,   1,   0,   1
    1601.152,   129,Finish(2), after,   2,   0,   0,   0,   1
    1619.674,   132,Finish(2),before,   1,   0,   0,   0,   1
    1619.674,   132,Finish(2), after,   1,   0,   0,   0,   0
    1649.759,   130,  Arrival,before,   0,   0,   0,   0,   0
    1649.759,   130,  Arrival, after,   2,   0,   0,   1,   0
    1656.247,   134,Finish(1),before,   1,   0,   0,   1,   0
    1656.247,   134,Finish(1), after,   2,   0,   0,   0,   1
    1673.340,   135,Finish(2),before,   1,   0,   0,   0,   1
    1673.340,   135,Finish(2), after,   1,   0,   0,   0,   0
    1700.498,   133,  Arrival,before,   0,   0,   0,   0,   0
    1700.498,   133,  Arrival, after,   2,   0,   0,   1,   0
    1702.228,   137,Finish(1),before,   1,   0,   0,   1,   0
    1702.228,   137,Finish(1), after,   2,   0,   0,   0,   1
    1713.125,   138,Finish(2),before,   1,   0,   0,   0,   1
    1713.125,   138,Finish(2), after,   1,   0,   0,   0,   0
    1740.733,   136,  Arrival,before,   0,   0,   0,   0,   0
    1740.733,   136,  Arrival, after,   2,   0,   0,   1,   0
    1771.507,   139,  Arrival,before,   1,   0,   0,   1,   0
    1771.507,   139,  Arrival, after,   2,   1,   0,   1,   0
    1785.745,   140,Finish(1),before,   1,   1,   0,   1,   0
    1785.745,   140,Finish(1), after,   3,   0,   0,   1,   1
    1788.082,   142,Finish(1),before,   2,   0,   0,   1,   1
    1788.082,   142,Finish(1), after,   2,   0,   1,   0,   1
    1799.102,   141,  Arrival,before,   1,   0,   1,   0,   1
    1799.102,   141,  Arrival, after,   3,   0,   1,   1,   1
    1801.282,   143,Finish(2),before,   2,   0,   1,   1,   1
    1801.282,   143,Finish(2), after,   3,   0,   0,   1,   1
    1808.378,   145,Finish(1),before,   2,   0,   0,   1,   1
    1808.378,   145,Finish(1), after,   2,   0,   1,   0,   1
    1814.436,   146,Finish(2),before,   1,   0,   1,   0,   1
    1814.436,   146,Finish(2), after,   2,   0,   0,   0,   1
    1816.807,   144,  Arrival,before,   1,   0,   0,   0,   1
    1816.807,   144,  Arrival, after,   3,   0,   0,   1,   1
    1832.933,   147,Finish(2),before,   2,   0,   0,   1,   1
    1832.933,   147,Finish(2), after,   2,   0,   0,   1,   0
    1852.304,   148,  Arrival,before,   1,   0,   0,   1,   0
    1852.304,   148,  Arrival, after,   2,   1,   0,   1,   0
    1862.427,   149,Finish(1),before,   1,   1,   0,   1,   0
    1862.427,   149,Finish(1), after,   3,   0,   0,   1,   1
    1871.951,   151,Finish(1),before,   2,   0,   0,   1,   1
    1871.951,   151,Finish(1), after,   2,   0,   1,   0,   1
    1881.000,   152,Finish(2),before,   1,   0,   1,   0,   1
    1881.000,   152,Finish(2), after,   2,   0,   0,   0,   1
    1895.993,   150,  Arrival,before,   1,   0,   0,   0,   1
    1895.993,   150,  Arrival, after,   3,   0,   0,   1,   1
    1900.722,   153,Finish(2),before,   2,   0,   0,   1,   1
    1900.722,   153,Finish(2), after,   2,   0,   0,   1,   0
    1900.838,   155,Finish(1),before,   1,   0,   0,   1,   0
    1900.838,   155,Finish(1), after,   2,   0,   0,   0,   1
    1907.126,   154,  Arrival,before,   1,   0,   0,   0,   1
    1907.126,   154,  Arrival, after,   3,   0,   0,   1,   1
    1911.217,   158,Finish(1),before,   2,   0,   0,   1,   1
    1911.217,   158,Finish(1), after,   2,   0,   1,   0,   1
