# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:38
# parameter: seed = 1896498
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       2.550,     2,Finish(1),before,   1,   0,   0,   1,   0
       2.550,     2,Finish(1), after,   2,   0,   0,   0,   1
      23.676,     3,Finish(2),before,   1,   0,   0,   0,   1
      23.676,     3,Finish(2), after,   1,   0,   0,   0,   0
      35.357,     1,  Arrival,before,   0,   0,   0,   0,   0
      35.357,     1,  Arrival, after,   2,   0,   0,   1,   0
      50.534,     5,Finish(1),before,   1,   0,   0,   1,   0
      50.534,     5,Finish(1), after,   2,   0,   0,   0,   1
      68.094,     6,Finish(2),before,   1,   0,   0,   0,   1
      68.094,     6,Finish(2), after,   1,   0,   0,   0,   0
      90.592,     4,  Arrival,before,   0,   0,   0,   0,   0
      90.592,     4,  Arrival, after,   2,   0,   0,   1,   0
      99.022,     8,Finish(1),before,   1,   0,   0,   1,   0
      99.022,     8,Finish(1), after,   2,   0,   0,   0,   1
     114.690,     7,  Arrival,before,   1,   0,   0,   0,   1
     114.690,     7,  Arrival, after,   3,   0,   0,   1,   1
     116.456,     9,Finish(2),before,   2,   0,   0,   1,   1
     116.456,     9,Finish(2), after,   2,   0,   0,   1,   0
     124.162,    11,Finish(1),before,   1,   0,   0,   1,   0
     124.162,    11,Finish(1), after,   2,   0,   0,   0,   1
     143.512,    12,Finish(2),before,   1,   0,   0,   0,   1
     143.512,    12,Finish(2), after,   1,   0,   0,   0,   0
     155.629,    10,  Arrival,before,   0,   0,   0,   0,   0
     155.629,    10,  Arrival, after,   2,   0,   0,   1,   0
     158.320,    14,Finish(1),before,   1,   0,   0,   1,   0
     158.320,    14,Finish(1), after,   2,   0,   0,   0,   1
     177.794,    15,Finish(2),before,   1,   0,   0,   0,   1
     177.794,    15,Finish(2), after,   1,   0,   0,   0,   0
     205.029,    13,  Arrival,before,   0,   0,   0,   0,   0
     205.029,    13,  Arrival, after,   2,   0,   0,   1,   0
     211.570,    17,Finish(1),before,   1,   0,   0,   1,   0
