time,total_ships,harbour_ships
80,0.6666666666666666,0.0
160,1.2857142857142858,0.14285714285714285
240,1.125,0.0
320,1.0,0.0
400,1.1428571428571428,0.14285714285714285
480,0.875,0.0
560,0.6666666666666666,0.0
640,1.0,0.0
720,1.1,0.1
800,0.7142857142857143,0.0
880,1.7777777777777777,0.3333333333333333
960,0.6,0.0
1040,0.75,0.0
1120,1.3333333333333333,0.16666666666666666
1200,0.6666666666666666,0.0
1280,0.6666666666666666,0.0
1360,0.8571428571428571,0.0
1440,0.6666666666666666,0.0
1520,0.75,0.0
1600,1.6666666666666667,0.16666666666666666
1680,0.6666666666666666,0.0
1760,1.2,0.0
1840,1.25,0.125
1920,2.1666666666666665,0.8333333333333334
2000,1.0,0.14285714285714285
2080,0.75,0.0
2160,0.6666666666666666,0.0
2240,1.1818181818181819,0.18181818181818182
2320,0.75,0.0
2400,1.6666666666666667,0.16666666666666666
2480,1.3333333333333333,0.16666666666666666
2560,1.0,0.1
2640,1.0,0.0
2720,1.5,0.125
2800,1.4444444444444444,0.1111111111111111
2880,1.4285714285714286,0.14285714285714285
2960,1.0,0.0
3040,0.6666666666666666,0.0
3120,0.6,0.0
3200,1.2,0.1
3280,0.5,0.0
3360,1.0,0.0
3440,0.875,0.125
3520,0.5,0.0
3600,0.6666666666666666,0.0
3680,0.6666666666666666,0.0
3760,1.125,0.125
3840,0.5,0.0
3920,0.75,0.0
4000,1.75,0.625
4080,1.25,0.25
4160,0.75,0.0
4240,0.5,0.0
4320,0.6666666666666666,0.0
4400,0.8,0.0
4480,0.6,0.0
4560,0.7142857142857143,0.0
4640,1.0,0.0
4720,1.8,0.2
4800,0.6666666666666666,0.0
4880,0.6666666666666666,0.0
4960,0.8,0.0
5040,1.2222222222222223,0.1111111111111111
5120,1.1428571428571428,0.14285714285714285
5200,0.7142857142857143,0.0
5280,1.3333333333333333,0.2222222222222222
5360,1.7142857142857142,0.14285714285714285
5440,0.6666666666666666,0.0
5520,0.6666666666666666,0.0
5600,1.0,0.1111111111111111
5680,0.5714285714285714,0.0
5760,1.7142857142857142,0.2857142857142857
5840,0.7142857142857143,0.0
5920,0.5,0.0
6000,0.7142857142857143,0.0
6080,1.1666666666666667,0.16666666666666666
6160,0.6,0.0
6240,1.1666666666666667,0.16666666666666666
6320,0.75,0.0
6400,1.0,0.0
6480,1.6923076923076923,0.23076923076923078
6560,0.6666666666666666,0.0
6640,2.4,0.2
6720,1.2,0.1
6800,1.1428571428571428,0.14285714285714285
6880,0.6666666666666666,0.0
6960,1.5555555555555556,0.1111111111111111
7040,1.6363636363636365,0.36363636363636365
7120,1.5,0.25
7200,1.625,0.25
7280,0.8571428571428571,0.0
7360,1.8181818181818181,0.36363636363636365
7440,1.375,0.25
7520,0.6666666666666666,0.0
7600,0.6,0.0
7680,1.875,0.375
7760,0.6666666666666666,0.0
7840,1.375,0.125
7920,1.0,0.0
8000,1.0,0.0
8080,3.272727272727273,0.6363636363636364
8160,1.625,0.375
8240,0.8,0.0
8320,1.2222222222222223,0.1111111111111111
8400,1.375,0.125
8480,1.2,0.0
8560,0.8333333333333334,0.16666666666666666
8640,0.6666666666666666,0.0
8720,1.0,0.0
8800,0.75,0.0
8880,1.0,0.0
8960,1.3333333333333333,0.0
9040,0.6,0.0
9120,1.0,0.125
9200,1.125,0.125
9280,1.1666666666666667,0.16666666666666666
9360,1.2222222222222223,0.0
9440,1.375,0.25
9520,1.0,0.125
9600,0.75,0.0
9680,1.0,0.125
9760,0.75,0.0
9840,1.3333333333333333,0.16666666666666666
9920,0.6666666666666666,0.0
10000,1.0,0.0
10080,1.6666666666666667,0.1111111111111111
10160,1.4,0.1
10240,0.7142857142857143,0.0
10320,0.5,0.0
10400,1.1666666666666667,0.16666666666666666
10480,1.625,0.25
10560,1.1428571428571428,0.0
10640,1.0,0.0
10720,1.3333333333333333,0.16666666666666666
10800,1.0,0.0
10880,0.6,0.0
10960,1.0,0.0
11040,0.6,0.0
11120,0.7142857142857143,0.0
11200,0.5714285714285714,0.0
11280,2.142857142857143,0.7142857142857143
11360,0.6,0.0
11440,0.8,0.0
11520,0.5714285714285714,0.0
11600,1.7777777777777777,0.2222222222222222
11680,1.25,0.0
11760,1.2857142857142858,0.14285714285714285
11840,0.6666666666666666,0.0
11920,0.6666666666666666,0.0
12000,0.6,0.0
12080,1.0,0.0
12160,1.2222222222222223,0.1111111111111111
12240,1.0,0.14285714285714285
12320,0.8,0.0
12400,1.0,0.0
12480,0.875,0.0
12560,1.3333333333333333,0.16666666666666666
12640,0.8888888888888888,0.0
12720,1.5,0.1
12800,0.6,0.0
12880,0.6,0.0
12960,0.6666666666666666,0.0
13040,0.6666666666666666,0.0
13120,1.375,0.125
13200,0.8571428571428571,0.0
13280,1.0,0.1111111111111111
13360,2.0,0.42857142857142855
13440,1.2222222222222223,0.1111111111111111
13520,1.0,0.125
13600,1.0,0.0
13680,0.5,0.0
13760,1.625,0.25
13840,0.5714285714285714,0.0
13920,1.2857142857142858,0.0
14000,1.0,0.125
14080,0.8,0.0
14160,1.3333333333333333,0.1111111111111111
14240,2.0,0.2
14320,0.8333333333333334,0.16666666666666666
14400,0.75,0.0
14480,0.6,0.0
14560,0.8,0.0
14640,1.0833333333333333,0.08333333333333333
14720,0.5714285714285714,0.0
14800,1.125,0.0
14880,1.5714285714285714,0.2857142857142857
14960,1.0,0.0
15040,0.6,0.0
15120,1.1111111111111112,0.1111111111111111
15200,1.1428571428571428,0.14285714285714285
15280,0.5,0.0
15360,2.1666666666666665,0.4166666666666667
15440,0.6666666666666666,0.0
15520,1.125,0.125
15600,0.6666666666666666,0.0
15680,1.0,0.0
15760,1.0,0.1
15840,0.5,0.0
15920,1.2,0.0
16000,0.875,0.0
16080,1.1111111111111112,0.0
16160,0.6,0.0
16240,0.8,0.0
16320,0.5714285714285714,0.0
16400,2.111111111111111,0.2222222222222222
16480,0.8333333333333334,0.16666666666666666
16560,1.1,0.0
16640,0.6,0.0
16720,1.375,0.125
16800,0.6666666666666666,0.0
16880,1.2222222222222223,0.1111111111111111
16960,1.0,0.14285714285714285
17040,1.0,0.0
17120,0.5714285714285714,0.0
17200,1.0909090909090908,0.0
17280,1.3333333333333333,0.1111111111111111
17360,0.5714285714285714,0.0
17440,1.0,0.0
17520,1.2,0.1
17600,0.6,0.0
17680,0.9,0.0
17760,0.7142857142857143,0.0
17840,0.6,0.0
17920,1.4444444444444444,0.2222222222222222
18000,1.1666666666666667,0.0
18080,1.3333333333333333,0.16666666666666666
18160,1.4444444444444444,0.1111111111111111
18240,1.0,0.125
18320,1.375,0.0
18400,1.3636363636363635,0.18181818181818182
18480,1.3333333333333333,0.1111111111111111
18560,0.75,0.0
18640,1.0,0.0
18720,0.6666666666666666,0.0
18800,0.6,0.0
