# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:44
# parameter: seed = 1896592
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,1.470316873139777,20.871197749516213
2,19.6227282129453,19.6227282129453,23.628495880422307,41.63358674331053
3,38.47473688621494,38.47473688621494,42.504108317300826,59.56946861885453
4,75.07661904224697,75.07661904224697,83.19414390311171,100.32482347205104
5,122.74508759387018,122.74508759387018,130.2812693024583,139.33841527484176
6,164.92180193482835,164.92180193482835,170.2258622949899,186.17941175015204
7,193.47793086554296,193.47793086554296,197.86343048263782,214.53430564218064
8,226.01602536629045,226.01602536629045,231.3627054888689,249.28894702272228
9,243.25729707623927,243.25729707623927,249.28894702272228,269.7681023463762
10,269.81137032634166,269.81137032634166,305.59522499855063,324.5656621864259
11,290.04711403846613,305.59522499855063,324.5656621864259,337.8005576775872
12,306.80606015749544,317.0509541334408,337.8005576775872,356.0541469657798
13,342.3694927439981,342.3694927439981,356.0541469657798,374.6609205813003
14,378.984744393521,378.984744393521,380.5429421720958,397.8014290026688
15,400.27960284358096,400.27960284358096,402.1167864307948,416.5073135446331
16,434.83410516572496,434.83410516572496,444.50201538445674,465.2119597515293
17,493.67136136992957,493.67136136992957,495.20246005773043,507.54406239640974
18,520.557536703273,520.557536703273,523.5978935155963,539.1690584846094
19,556.7579662856706,556.7579662856706,558.5266413863208,580.8445369923196
20,600.0693468418175,600.0693468418175,608.0234703157734,626.2359916617095
21,622.2910166509683,622.2910166509683,641.7471287495625,661.3870806012516
22,657.1428945112937,657.1428945112937,671.1909730984052,686.5586732857512
23,673.5708652711883,673.5708652711883,686.5586732857512,703.6994344740151
24,692.0199358116489,692.0199358116489,718.7863302950695,737.2975390068383
25,744.0725824386773,744.0725824386773,757.9545127289853,776.0179110496005
26,785.6831263534075,785.6831263534075,790.8131699451993,805.0264679268696
27,822.9633775897828,822.9633775897828,828.0015439157011,845.7245293462883
28,851.2912819582598,851.2912819582598,852.9529355520714,872.4828992245288
29,871.8100216459096,871.8100216459096,877.545304576511,893.9118433970984
30,901.4956524558042,901.4956524558042,911.6073909130873,924.8693655212276
31,918.992192301287,918.992192301287,925.6299170685438,942.0786119830262
32,963.8386131068188,963.8386131068188,968.0071374376436,987.2775963133784
33,974.878660789845,974.878660789845,987.2775963133784,998.2220738743407
34,997.9406717758422,997.9406717758422,1005.6864486804875,1020.5798018489725
35,1032.8527157679732,1032.8527157679732,1054.3694950412348,1070.7321702117272
36,1088.2353354070333,1088.2353354070333,1089.3399646345968,1106.310717108294
37,1108.491782889385,1108.491782889385,1129.7654624204672,1141.1615578657545
38,1146.0419036331346,1146.0419036331346,1165.133947558213,1184.3112212398191
39,1184.9577114410367,1184.9577114410367,1193.5316198209289,1212.1993826034036
40,1199.9960836748141,1199.9960836748141,1212.1993826034036,1228.2958700158356
41,1258.2121872418188,1258.2121872418188,1260.8862703221507,1273.667665323159
42,1299.811690797688,1299.811690797688,1300.1747377962506,1315.4737629118117
43,1325.629310058855,1325.629310058855,1330.8815504454437,1343.1273751438732
44,1348.0444283970332,1348.0444283970332,1403.3830432316345,1417.3034368343442
45,1397.6063593277543,1403.3830432316345,1417.3034368343442,1428.9733242408624
46,1450.3536449324522,1450.3536449324522,1456.8671545629034,1476.046746386038
47,1496.0736467831164,1496.0736467831164,1509.2657329168367,1526.244314716963
48,1533.3731825641678,1533.3731825641678,1536.4399410463159,1551.535230995192
49,1590.8492643487295,1590.8492643487295,1599.7445566294966,1613.9030092884661
50,1618.573906063205,1618.573906063205,1623.1542127328948,1642.3283708616684
51,1647.7551393458432,1647.7551393458432,1658.3041748348485,1674.248349108083
52,1660.1499067722814,1660.1499067722814,1674.248349108083,1684.450064603034
53,1680.8525081448706,1680.8525081448706,1703.42090143603,1718.3037234471126
54,1697.7074606623357,1703.42090143603,1718.3037234471126,1737.3488857425018
55,1719.8350889578712,1719.8350889578712,1737.3488857425018,1752.8551799267857
56,1760.953095757308,1760.953095757308,1765.3767799458387,1781.8082274000353
57,1801.6655932829553,1801.6655932829553,1812.0873394456619,1826.8443021692813
58,1860.6145196823377,1860.6145196823377,1868.1482736653504,1884.659605159122
59,1881.2323149863523,1881.2323149863523,1884.659605159122,1902.7047248838353
60,1915.6064975853571,1915.6064975853571,1915.6420462402323,1930.4798066728254
61,1927.1369866032078,1927.1369866032078,1930.4798066728254,1944.7071700085019
62,1974.3808397488942,1974.3808397488942,1989.0949842855305,2009.0028907851436
63,2029.7237842661762,2029.7237842661762,2064.5395181774215,2079.1080515411086
64,2052.395891584323,2064.5395181774215,2079.1080515411086,2094.323134839765
65,2109.071705536907,2109.071705536907,2112.493148006637,2126.54781872189
66,2164.684707490545,2164.684707490545,2176.967938507723,2191.9237771620424
67,2182.086404420868,2182.086404420868,2191.9237771620424,2206.193416209948
68,2234.345288147147,2234.345288147147,2235.732184523319,2255.303313436376
69,2258.5647077121826,2258.5647077121826,2262.580917839751,2282.561638400679
70,2311.001674958372,2311.001674958372,2328.9245874890325,2343.42137289239
71,2352.971995510913,2352.971995510913,2358.524983980756,2379.6153682961485
72,2407.1601678818015,2407.1601678818015,2428.3933513058464,2444.1135408767846
73,2431.6524049649374,2431.6524049649374,2457.5607966395996,2467.7899134349864
74,2467.126735288563,2467.126735288563,2469.3425548058203,2489.359378721541
75,2509.487567737634,2509.487567737634,2523.563941221061,2534.876484982628
76,2556.1945053061568,2556.1945053061568,2565.193610577302,2585.5481746531623
77,2581.970109191613,2581.970109191613,2585.5481746531623,2603.084373411243
78,2630.5886652510144,2630.5886652510144,2633.886164669136,2646.8629802375162
79,2679.115506946591,2679.115506946591,2700.408681729615,2719.5100948267414
80,2737.0705749405283,2737.0705749405283,2743.7385250830084,2759.966324875008
81,2778.2317844853337,2778.2317844853337,2781.373572836968,2791.372047903165
82,2813.109595033683,2813.109595033683,2818.7152840504123,2836.4666583714666
83,2835.6002078500705,2835.6002078500705,2870.7811249818888,2886.1037867647756
84,2894.53279479064,2894.53279479064,2902.264159495563,2920.0808837705563
85,2910.064268019805,2910.064268019805,2933.4959655392927,2952.438766248019
86,2924.3735747808128,2933.4959655392927,2952.438766248019,2967.8685646428125
87,2976.258536197668,2976.258536197668,2987.947751895833,3002.286871314161
88,2989.1896146202607,2989.1896146202607,3002.286871314161,3017.4455088368377
89,3046.510563607572,3046.510563607572,3063.705050800296,3078.295715507896
90,3071.907547239143,3071.907547239143,3079.251859780259,3092.901989758689
91,3118.795205678165,3118.795205678165,3122.1599230201796,3144.0106099116283
92,3138.9806042907944,3138.9806042907944,3162.140157837555,3180.195237502025
93,3177.3153505460723,3177.3153505460723,3180.6885442253483,3191.5134557266874
94,3235.9727101685894,3235.9727101685894,3246.7060584200767,3257.0137306221122
95,3293.2079554930488,3293.2079554930488,3303.081204746879,3321.642355799612
96,3325.758406848158,3325.758406848158,3334.43011068517,3351.259938123951
97,3352.570358355079,3352.570358355079,3362.3668127194364,3382.3085587553105
98,3386.8447579004023,3386.8447579004023,3388.6559363918695,3402.746322864846
99,3440.465195773197,3440.465195773197,3440.69888747703,3459.077900702454
100,3480.7168294912985,3480.7168294912985,3484.053637777206,3496.4792566807578
101,3499.850218154087,3499.850218154087,3524.6323603632327,3541.8913129156567
102,3543.8194119311665,3543.8194119311665,3547.704810317933,3564.6245449817407
103,3577.7487507938617,3577.7487507938617,3579.786409156726,3593.622966970141
104,3594.8476419562785,3594.8476419562785,3610.751523380285,3626.83123453897
105,3613.5267574336167,3613.5267574336167,3626.83123453897,3640.379171554428
106,3668.6103088346367,3668.6103088346367,3672.6364619222936,3693.357501564854
107,3681.635446803476,3681.635446803476,3693.357501564854,3708.3936206264884
108,3703.06330026147,3703.06330026147,3718.1988883054178,3733.3687577948194
109,3715.3676154610434,3718.1988883054178,3733.3687577948194,3747.89732828031
110,3762.1702597795593,3762.1702597795593,3769.709856286902,3785.131522585665
111,3779.0038595090523,3779.0038595090523,3785.131522585665,3798.0685975541437
112,3797.2246909734026,3797.2246909734026,3812.7360057263845,3829.3427921313237
113,3819.67073723261,3819.67073723261,3829.3427921313237,3848.005451967333
114,3865.9677288788066,3865.9677288788066,3866.0296339831584,3877.7733247535366
115,3919.3209229234476,3919.3209229234476,3924.2858606366362,3936.009515628347
116,3946.420512806481,3946.420512806481,3963.9610970405192,3980.2157044661776
