# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:46
# parameter: seed = 1896617
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      10.405,     2,Finish(1),before,   1,   0,   0,   1,   0
      10.405,     2,Finish(1), after,   2,   0,   0,   0,   1
      30.195,     3,Finish(2),before,   1,   0,   0,   0,   1
      30.195,     3,Finish(2), after,   1,   0,   0,   0,   0
      55.778,     1,  Arrival,before,   0,   0,   0,   0,   0
      55.778,     1,  Arrival, after,   2,   0,   0,   1,   0
      82.363,     5,Finish(1),before,   1,   0,   0,   1,   0
      82.363,     5,Finish(1), after,   2,   0,   0,   0,   1
      87.933,     4,  Arrival,before,   1,   0,   0,   0,   1
      87.933,     4,  Arrival, after,   3,   0,   0,   1,   1
      92.122,     8,Finish(1),before,   2,   0,   0,   1,   1
      92.122,     8,Finish(1), after,   2,   0,   1,   0,   1
     100.071,     6,Finish(2),before,   1,   0,   1,   0,   1
     100.071,     6,Finish(2), after,   2,   0,   0,   0,   1
     114.702,     9,Finish(2),before,   1,   0,   0,   0,   1
     114.702,     9,Finish(2), after,   1,   0,   0,   0,   0
     135.009,     7,  Arrival,before,   0,   0,   0,   0,   0
     135.009,     7,  Arrival, after,   2,   0,   0,   1,   0
     144.398,    11,Finish(1),before,   1,   0,   0,   1,   0
     144.398,    11,Finish(1), after,   2,   0,   0,   0,   1
     158.425,    10,  Arrival,before,   1,   0,   0,   0,   1
     158.425,    10,  Arrival, after,   3,   0,   0,   1,   1
     161.659,    12,Finish(2),before,   2,   0,   0,   1,   1
     161.659,    12,Finish(2), after,   2,   0,   0,   1,   0
     168.862,    14,Finish(1),before,   1,   0,   0,   1,   0
     168.862,    14,Finish(1), after,   2,   0,   0,   0,   1
     177.234,    13,  Arrival,before,   1,   0,   0,   0,   1
     177.234,    13,  Arrival, after,   3,   0,   0,   1,   1
     181.931,    15,Finish(2),before,   2,   0,   0,   1,   1
     181.931,    15,Finish(2), after,   2,   0,   0,   1,   0
     192.783,    16,  Arrival,before,   1,   0,   0,   1,   0
