# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:37
# parameter: seed = 1896483
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      22.604,     2,Finish(1),before,   1,   0,   0,   1,   0
      22.604,     2,Finish(1), after,   2,   0,   0,   0,   1
      38.866,     3,Finish(2),before,   1,   0,   0,   0,   1
      38.866,     3,Finish(2), after,   1,   0,   0,   0,   0
      42.464,     1,  Arrival,before,   0,   0,   0,   0,   0
      42.464,     1,  Arrival, after,   2,   0,   0,   1,   0
      43.960,     5,Finish(1),before,   1,   0,   0,   1,   0
      43.960,     5,Finish(1), after,   2,   0,   0,   0,   1
      60.168,     6,Finish(2),before,   1,   0,   0,   0,   1
      60.168,     6,Finish(2), after,   1,   0,   0,   0,   0
      89.717,     4,  Arrival,before,   0,   0,   0,   0,   0
      89.717,     4,  Arrival, after,   2,   0,   0,   1,   0
     108.737,     8,Finish(1),before,   1,   0,   0,   1,   0
     108.737,     8,Finish(1), after,   2,   0,   0,   0,   1
     124.081,     9,Finish(2),before,   1,   0,   0,   0,   1
     124.081,     9,Finish(2), after,   1,   0,   0,   0,   0
     136.330,     7,  Arrival,before,   0,   0,   0,   0,   0
     136.330,     7,  Arrival, after,   2,   0,   0,   1,   0
     136.768,    11,Finish(1),before,   1,   0,   0,   1,   0
     136.768,    11,Finish(1), after,   2,   0,   0,   0,   1
     158.180,    12,Finish(2),before,   1,   0,   0,   0,   1
     158.180,    12,Finish(2), after,   1,   0,   0,   0,   0
     172.621,    10,  Arrival,before,   0,   0,   0,   0,   0
     172.621,    10,  Arrival, after,   2,   0,   0,   1,   0
     190.110,    14,Finish(1),before,   1,   0,   0,   1,   0
     190.110,    14,Finish(1), after,   2,   0,   0,   0,   1
     197.642,    13,  Arrival,before,   1,   0,   0,   0,   1
     197.642,    13,  Arrival, after,   3,   0,   0,   1,   1
     202.695,    17,Finish(1),before,   2,   0,   0,   1,   1
     202.695,    17,Finish(1), after,   2,   0,   1,   0,   1
     207.234,    15,Finish(2),before,   1,   0,   1,   0,   1
