# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:45
# parameter: seed = 1896610
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.045,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.045,     2,Finish(1), after,   2,   0,   0,   0,   1
      13.344,     3,Finish(2),before,   1,   0,   0,   0,   1
      13.344,     3,Finish(2), after,   1,   0,   0,   0,   0
      20.695,     1,  Arrival,before,   0,   0,   0,   0,   0
      20.695,     1,  Arrival, after,   2,   0,   0,   1,   0
      31.270,     5,Finish(1),before,   1,   0,   0,   1,   0
      31.270,     5,Finish(1), after,   2,   0,   0,   0,   1
      45.005,     6,Finish(2),before,   1,   0,   0,   0,   1
      45.005,     6,Finish(2), after,   1,   0,   0,   0,   0
      68.325,     4,  Arrival,before,   0,   0,   0,   0,   0
      68.325,     4,  Arrival, after,   2,   0,   0,   1,   0
      72.706,     8,Finish(1),before,   1,   0,   0,   1,   0
      72.706,     8,Finish(1), after,   2,   0,   0,   0,   1
      89.649,     9,Finish(2),before,   1,   0,   0,   0,   1
      89.649,     9,Finish(2), after,   1,   0,   0,   0,   0
      97.108,     7,  Arrival,before,   0,   0,   0,   0,   0
      97.108,     7,  Arrival, after,   2,   0,   0,   1,   0
     109.652,    11,Finish(1),before,   1,   0,   0,   1,   0
     109.652,    11,Finish(1), after,   2,   0,   0,   0,   1
     121.555,    10,  Arrival,before,   1,   0,   0,   0,   1
     121.555,    10,  Arrival, after,   3,   0,   0,   1,   1
     124.895,    12,Finish(2),before,   2,   0,   0,   1,   1
     124.895,    12,Finish(2), after,   2,   0,   0,   1,   0
     136.774,    14,Finish(1),before,   1,   0,   0,   1,   0
     136.774,    14,Finish(1), after,   2,   0,   0,   0,   1
     144.986,    13,  Arrival,before,   1,   0,   0,   0,   1
     144.986,    13,  Arrival, after,   3,   0,   0,   1,   1
     145.698,    17,Finish(1),before,   2,   0,   0,   1,   1
     145.698,    17,Finish(1), after,   2,   0,   1,   0,   1
     156.348,    15,Finish(2),before,   1,   0,   1,   0,   1
