# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:44
# parameter: seed = 1896598
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       9.208,     2,Finish(1),before,   1,   0,   0,   1,   0
       9.208,     2,Finish(1), after,   2,   0,   0,   0,   1
      25.150,     3,Finish(2),before,   1,   0,   0,   0,   1
      25.150,     3,Finish(2), after,   1,   0,   0,   0,   0
      35.980,     1,  Arrival,before,   0,   0,   0,   0,   0
      35.980,     1,  Arrival, after,   2,   0,   0,   1,   0
      36.273,     5,Finish(1),before,   1,   0,   0,   1,   0
      36.273,     5,Finish(1), after,   2,   0,   0,   0,   1
      48.425,     4,  Arrival,before,   1,   0,   0,   0,   1
      48.425,     4,  Arrival, after,   3,   0,   0,   1,   1
      48.945,     8,Finish(1),before,   2,   0,   0,   1,   1
      48.945,     8,Finish(1), after,   2,   0,   1,   0,   1
      53.172,     6,Finish(2),before,   1,   0,   1,   0,   1
      53.172,     6,Finish(2), after,   2,   0,   0,   0,   1
      66.420,     7,  Arrival,before,   1,   0,   0,   0,   1
      66.420,     7,  Arrival, after,   3,   0,   0,   1,   1
      69.660,    11,Finish(1),before,   2,   0,   0,   1,   1
      69.660,    11,Finish(1), after,   2,   0,   1,   0,   1
      70.272,     9,Finish(2),before,   1,   0,   1,   0,   1
      70.272,     9,Finish(2), after,   2,   0,   0,   0,   1
      83.609,    12,Finish(2),before,   1,   0,   0,   0,   1
      83.609,    12,Finish(2), after,   1,   0,   0,   0,   0
     106.348,    10,  Arrival,before,   0,   0,   0,   0,   0
     106.348,    10,  Arrival, after,   2,   0,   0,   1,   0
     107.699,    14,Finish(1),before,   1,   0,   0,   1,   0
     107.699,    14,Finish(1), after,   2,   0,   0,   0,   1
     118.378,    15,Finish(2),before,   1,   0,   0,   0,   1
     118.378,    15,Finish(2), after,   1,   0,   0,   0,   0
     158.277,    13,  Arrival,before,   0,   0,   0,   0,   0
     158.277,    13,  Arrival, after,   2,   0,   0,   1,   0
     165.189,    17,Finish(1),before,   1,   0,   0,   1,   0
