# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:42
# parameter: seed = 1896569
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,7.544899299549348,25.122438735869935
2,20.91947154460516,20.91947154460516,29.107421748770694,46.44298428117728
3,56.333095537876595,56.333095537876595,69.82994628335739,82.03039124686862
4,108.25852408392674,108.25852408392674,109.76121812730709,124.41035959349406
5,145.59964853038414,145.59964853038414,166.6011220959672,182.01808727195674
6,182.3949068841285,182.3949068841285,189.43298855880562,206.97605177934395
7,236.35768073674097,236.35768073674097,241.04904087656442,255.81989424898092
8,282.82771719329946,282.82771719329946,287.09830902176805,304.51878577862885
9,332.5216957713555,332.5216957713555,345.37576272702785,358.28411880443923
10,352.6013504293329,352.6013504293329,358.28411880443923,371.5392486382478
11,379.2008541889608,379.2008541889608,381.88391972969475,394.56114537462287
12,422.97967453714614,422.97967453714614,429.9375498866141,448.5014858860134
13,452.3026824876376,452.3026824876376,467.5818512684992,482.7083989442268
14,489.23900408192304,489.23900408192304,495.05306563509333,510.3575583206689
15,518.1675040328619,518.1675040328619,529.264282742665,542.9552533869605
16,571.3896464761424,571.3896464761424,575.7470592916939,590.3678710787576
17,620.1154568864335,620.1154568864335,622.025204674423,641.1463979588879
18,641.5116487984396,641.5116487984396,648.4477970689097,665.4131836631288
19,693.2004009330564,693.2004009330564,698.3983635815322,713.2612241793843
20,721.5101914471923,721.5101914471923,734.8339677071349,752.4860785870746
21,736.1226599659205,736.1226599659205,752.4860785870746,767.3492428915749
22,766.1416828016737,766.1416828016737,794.4474534576677,808.9505141141489
23,808.5595924423097,808.5595924423097,821.3703487409706,829.9251657055241
24,833.0718424329567,833.0718424329567,849.1796246081617,863.6641109230744
25,882.7323208895044,882.7323208895044,893.5826969612576,906.9995407159678
26,912.086627345471,912.086627345471,916.0377432358143,932.1805047161372
27,937.7839262893648,937.7839262893648,941.5108426903255,958.4057809997724
28,958.344845107809,958.344845107809,959.0713455170481,975.8589210073418
29,1006.2358142379917,1006.2358142379917,1037.431710346197,1055.6436647273968
30,1061.6709944268337,1061.6709944268337,1084.1443596442339,1100.3141467605274
31,1118.8476630187834,1118.8476630187834,1120.2752735855738,1139.531452265054
32,1134.8816011915521,1134.8816011915521,1139.531452265054,1156.1337784419322
33,1192.0156617312691,1192.0156617312691,1199.4845301898433,1213.690198287095
34,1250.6515741081805,1250.6515741081805,1268.5262911907555,1283.4539403254205
35,1283.3788968293945,1283.3788968293945,1291.4362451402048,1302.4510265252882
36,1325.6939224543205,1325.6939224543205,1328.41495981629,1345.0746591672864
37,1384.3149396065974,1384.3149396065974,1389.322713289719,1407.639845734363
38,1433.6235467358003,1433.6235467358003,1437.7487798224117,1454.1997711450401
39,1447.422915849645,1447.422915849645,1454.1997711450401,1473.2302142427495
40,1504.679431568006,1504.679431568006,1516.5051848938942,1531.3361164238297
41,1544.9488265566506,1544.9488265566506,1566.9780746879803,1588.3978809481957
42,1575.1898299508116,1575.1898299508116,1588.3978809481957,1605.767125284072
43,1630.2482369547283,1630.2482369547283,1685.6670026395059,1706.5690368062099
44,1642.125236461804,1685.6670026395059,1706.5690368062099,1717.9728492104036
45,1680.7187221812255,1698.6043169112309,1717.9728492104036,1733.9013837287537
46,1722.6284450582586,1722.6284450582586,1773.900991982601,1788.6424120678478
47,1746.9713855126606,1773.900991982601,1791.4252228351638,1803.270182089487
48,1799.6620489219604,1799.6620489219604,1803.270182089487,1822.5597979564836
49,1828.8760950030796,1828.8760950030796,1831.5286676063993,1843.0377722136916
50,1854.5902380644393,1854.5902380644393,1859.3751311527633,1875.955185005976
51,1876.2242548689119,1876.2242548689119,1880.4391916628424,1898.4554813846341
52,1934.4098729500633,1934.4098729500633,1934.8056663777786,1951.6979956142611
53,1958.4776214695323,1958.4776214695323,1960.6525533170995,1982.0720975027727
54,1999.3757236546737,1999.3757236546737,2005.7173137692114,2022.6943383571895
55,2028.3093131046019,2028.3093131046019,2053.649729364629,2070.0017496232836
56,2074.0136099404294,2074.0136099404294,2076.7333316157674,2095.2954300207325
57,2114.387017552222,2114.387017552222,2122.8560955585053,2141.547382374508
58,2152.3479083955704,2152.3479083955704,2157.7752998385286,2169.700964264376
59,2192.610081071481,2192.610081071481,2200.0108420021274,2215.441983417338
60,2240.927395046256,2240.927395046256,2242.6673357909117,2251.4408817742956
61,2296.9094928302243,2296.9094928302243,2298.066940026507,2314.2461820410895
62,2347.7209686420224,2347.7209686420224,2373.161581948631,2390.7501695069373
63,2373.5774378686324,2373.5774378686324,2390.7501695069373,2402.9992509548097
64,2391.6672279739523,2391.6672279739523,2402.9992509548097,2415.111657531729
65,2433.417101069041,2433.417101069041,2455.8091819167976,2467.5152216764286
66,2486.70226396445,2486.70226396445,2489.451017415994,2502.9092400182994
67,2540.458636325036,2540.458636325036,2548.226554939691,2558.822560650857
68,2575.117443622496,2575.117443622496,2577.0218300687934,2588.224880985452
69,2608.958784582533,2608.958784582533,2620.8562053079645,2634.065076621222
70,2662.0668369193536,2662.0668369193536,2673.5863153815894,2691.094679708842
71,2689.12854198524,2689.12854198524,2694.1890190915847,2710.2222728564025
72,2729.114831069147,2729.114831069147,2751.1147126553255,2772.1458286226143
73,2781.6659082450005,2781.6659082450005,2793.1051054328227,2812.025764341286
74,2805.2200649959295,2805.2200649959295,2812.025764341286,2829.4930471094435
75,2820.3470012907387,2820.3470012907387,2829.4930471094435,2846.8448852133847
76,2849.7296735397954,2849.7296735397954,2863.6988783357365,2883.845359644265
77,2862.8725401444376,2863.6988783357365,2883.845359644265,2900.6688047742887
78,2885.628488351297,2885.628488351297,2902.965971794386,2915.1255712227594
79,2937.5127067884687,2937.5127067884687,2944.094085786392,2962.618150896794
80,2958.101996792613,2958.101996792613,2965.3573830613577,2983.190828042281
81,2975.510361133109,2975.510361133109,2994.8648264107424,3015.6610883818216
82,3010.5594827314576,3010.5594827314576,3022.205496650086,3039.444050114046
83,3058.9162693177504,3058.9162693177504,3065.106405027464,3084.262017767417
84,3080.1576548569287,3080.1576548569287,3084.262017767417,3101.114265968076
85,3133.3730205189536,3133.3730205189536,3140.666841167605,3159.9218887228685
86,3178.5656572004614,3178.5656572004614,3191.9778841715247,3211.058601106097
87,3193.707718402682,3193.707718402682,3211.058601106097,3223.1965618798613
88,3220.71886831068,3220.71886831068,3231.185471509355,3247.0753424574345
89,3263.356230164317,3263.356230164317,3263.5537490775296,3279.5076646690527
90,3300.574508842211,3300.574508842211,3303.1837450622443,3313.232905473748
91,3313.938544131941,3313.938544131941,3346.9607293619406,3365.562834128215
92,3348.2431917637746,3348.2431917637746,3365.562834128215,3386.1986386586036
93,3385.991653588256,3385.991653588256,3391.2122731659774,3404.9564024202296
94,3433.0658957720743,3433.0658957720743,3447.344278070402,3466.641084200543
95,3471.179852090382,3471.179852090382,3491.84667678417,3503.4840507571635
96,3521.182050529335,3521.182050529335,3523.765569344531,3540.8516538167355
97,3539.726251420506,3539.726251420506,3555.881162255027,3573.5146955143914
98,3592.7190399860538,3592.7190399860538,3595.63556549119,3611.801596160474
99,3606.9191862612,3606.9191862612,3611.801596160474,3621.2755424654506
100,3661.886032210035,3661.886032210035,3678.626250529706,3692.470402570869
101,3690.6201576375906,3690.6201576375906,3696.7796293600813,3716.627997699432
102,3704.5470115560693,3704.5470115560693,3717.7394929951624,3736.3393168013745
103,3725.267867598723,3725.267867598723,3736.3393168013745,3750.350562443346
104,3755.1068124517096,3755.1068124517096,3799.4943842064786,3813.738482608345
105,3791.706747711614,3799.4943842064786,3815.539954711474,3829.980560888765
106,3811.4761701058037,3815.539954711474,3829.980560888765,3843.1872448377258
107,3828.7985883176543,3828.7985883176543,3843.1872448377258,3858.520126630253
108,3873.4733097990993,3873.4733097990993,3877.723571562289,3892.1363867717228
109,3906.188623274082,3906.188623274082,3909.246254057895,3926.9603858206497
110,3958.3405539941996,3958.3405539941996,3971.850093606395,3985.8823488559397
111,4001.0837355325425,4001.0837355325425,4020.00616779502,4037.4488174332046
112,4012.6396689941826,4020.00616779502,4037.4488174332046,4052.0678732569554
113,4071.592970509781,4071.592970509781,4085.5616371099336,4102.392754790449
114,4126.348346994865,4126.348346994865,4143.282822501652,4158.736945427556
115,4182.199108300974,4182.199108300974,4186.217619925955,4201.528117917399
116,4228.387074319708,4228.387074319708,4247.119455263493,4262.575347501923
117,4265.122432993612,4265.122432993612,4268.247633426568,4283.578617162177
118,4288.2931049792,4288.2931049792,4311.719544487936,4329.264559822642
119,4340.811582775874,4340.811582775874,4373.34420627855,4387.1913348712615
120,4382.89280389188,4382.89280389188,4403.93595188056,4417.618853158873
121,4439.47031364537,4439.47031364537,4440.408336485787,4461.421968494602
122,4461.2396980880085,4461.2396980880085,4487.445362194563,4506.272140943402
123,4514.552600894007,4514.552600894007,4516.659666571407,4531.154143889348
124,4547.851470400766,4547.851470400766,4554.144780838413,4574.249700624495
125,4603.831586597416,4603.831586597416,4613.237473657781,4627.0248739819635
126,4638.059843194046,4638.059843194046,4642.254750124069,4657.991488440058
127,4687.681249072513,4687.681249072513,4743.024108884263,4756.8186317734835
128,4714.788405011325,4743.024108884263,4757.226515084647,4776.88565385146
129,4749.890429359415,4757.226515084647,4776.88565385146,4797.646325391591
130,4806.911363184372,4806.911363184372,4823.773730013097,4839.752257368927
131,4856.613071627193,4856.613071627193,4874.4060407055185,4891.286457905925
132,4890.888155506959,4890.888155506959,4901.928793685374,4922.347376248004
133,4933.1205684474635,4933.1205684474635,4954.483712308896,4969.430037445046
134,4947.1417214151,4954.483712308896,4969.430037445046,4983.854924070534
135,5001.954177740908,5001.954177740908,5007.981325928054,5021.540060091001
