# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:47
# parameter: seed = 1896628
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      18.992,     2,Finish(1),before,   1,   0,   0,   1,   0
      18.992,     2,Finish(1), after,   2,   0,   0,   0,   1
      21.767,     1,  Arrival,before,   1,   0,   0,   0,   1
      21.767,     1,  Arrival, after,   3,   0,   0,   1,   1
      30.819,     3,Finish(2),before,   2,   0,   0,   1,   1
      30.819,     3,Finish(2), after,   2,   0,   0,   1,   0
      40.355,     5,Finish(1),before,   1,   0,   0,   1,   0
      40.355,     5,Finish(1), after,   2,   0,   0,   0,   1
      50.175,     4,  Arrival,before,   1,   0,   0,   0,   1
      50.175,     4,  Arrival, after,   3,   0,   0,   1,   1
      54.195,     6,Finish(2),before,   2,   0,   0,   1,   1
      54.195,     6,Finish(2), after,   2,   0,   0,   1,   0
      57.511,     8,Finish(1),before,   1,   0,   0,   1,   0
      57.511,     8,Finish(1), after,   2,   0,   0,   0,   1
      71.140,     7,  Arrival,before,   1,   0,   0,   0,   1
      71.140,     7,  Arrival, after,   3,   0,   0,   1,   1
      73.241,     9,Finish(2),before,   2,   0,   0,   1,   1
      73.241,     9,Finish(2), after,   2,   0,   0,   1,   0
      87.582,    11,Finish(1),before,   1,   0,   0,   1,   0
      87.582,    11,Finish(1), after,   2,   0,   0,   0,   1
      99.154,    12,Finish(2),before,   1,   0,   0,   0,   1
      99.154,    12,Finish(2), after,   1,   0,   0,   0,   0
     120.364,    10,  Arrival,before,   0,   0,   0,   0,   0
     120.364,    10,  Arrival, after,   2,   0,   0,   1,   0
     123.502,    14,Finish(1),before,   1,   0,   0,   1,   0
     123.502,    14,Finish(1), after,   2,   0,   0,   0,   1
     141.362,    15,Finish(2),before,   1,   0,   0,   0,   1
     141.362,    15,Finish(2), after,   1,   0,   0,   0,   0
     173.051,    13,  Arrival,before,   0,   0,   0,   0,   0
     173.051,    13,  Arrival, after,   2,   0,   0,   1,   0
     174.097,    17,Finish(1),before,   1,   0,   0,   1,   0
