# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:38
# parameter: seed = 1896494
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      19.015,     2,Finish(1),before,   1,   0,   0,   1,   0
      19.015,     2,Finish(1), after,   2,   0,   0,   0,   1
      30.779,     3,Finish(2),before,   1,   0,   0,   0,   1
      30.779,     3,Finish(2), after,   1,   0,   0,   0,   0
      56.452,     1,  Arrival,before,   0,   0,   0,   0,   0
      56.452,     1,  Arrival, after,   2,   0,   0,   1,   0
      71.546,     5,Finish(1),before,   1,   0,   0,   1,   0
      71.546,     5,Finish(1), after,   2,   0,   0,   0,   1
      86.872,     6,Finish(2),before,   1,   0,   0,   0,   1
      86.872,     6,Finish(2), after,   1,   0,   0,   0,   0
      99.958,     4,  Arrival,before,   0,   0,   0,   0,   0
      99.958,     4,  Arrival, after,   2,   0,   0,   1,   0
     120.460,     7,  Arrival,before,   1,   0,   0,   1,   0
     120.460,     7,  Arrival, after,   2,   1,   0,   1,   0
     157.296,     8,Finish(1),before,   1,   1,   0,   1,   0
     157.296,     8,Finish(1), after,   3,   0,   0,   1,   1
     160.318,    10,Finish(1),before,   2,   0,   0,   1,   1
     160.318,    10,Finish(1), after,   2,   0,   1,   0,   1
     173.564,    11,Finish(2),before,   1,   0,   1,   0,   1
     173.564,    11,Finish(2), after,   2,   0,   0,   0,   1
     174.630,     9,  Arrival,before,   1,   0,   0,   0,   1
     174.630,     9,  Arrival, after,   3,   0,   0,   1,   1
     179.653,    14,Finish(1),before,   2,   0,   0,   1,   1
     179.653,    14,Finish(1), after,   2,   0,   1,   0,   1
     193.485,    12,Finish(2),before,   1,   0,   1,   0,   1
     193.485,    12,Finish(2), after,   2,   0,   0,   0,   1
     209.985,    15,Finish(2),before,   1,   0,   0,   0,   1
     209.985,    15,Finish(2), after,   1,   0,   0,   0,   0
     233.530,    13,  Arrival,before,   0,   0,   0,   0,   0
     233.530,    13,  Arrival, after,   2,   0,   0,   1,   0
     250.055,    17,Finish(1),before,   1,   0,   0,   1,   0
