# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:44
# parameter: seed = 1896590
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,6.085700113378711,20.813338810888272
2,30.1702711113505,30.1702711113505,35.037456213701525,54.69506500623787
3,67.15807242114204,67.15807242114204,69.18710319250543,85.38926850945442
4,125.96200208934955,125.96200208934955,129.6692172702239,148.43818427459533
5,160.21070158834965,160.21070158834965,165.50639742154956,183.39364543243727
6,183.13685453911532,183.13685453911532,203.27215645383478,220.51457878719216
7,199.29356128912536,203.27215645383478,227.32326869461684,244.7343289642693
8,231.46931614560495,231.46931614560495,246.45447686639974,262.70146357874603
9,247.35864932234568,247.35864932234568,262.70146357874603,280.68216345439845
10,298.3932079122633,298.3932079122633,298.588346703613,313.11254298984835
11,350.48666988938805,350.48666988938805,358.1157656908327,371.3366278186961
12,395.19205599497235,395.19205599497235,401.2219985365819,415.11227439313046
13,453.72041855185546,453.72041855185546,460.80485614742537,473.92904831083155
14,479.92880671831426,479.92880671831426,483.31699976638896,496.488388467952
15,524.8439818206245,524.8439818206245,526.1190901846662,544.8072481710515
16,546.4130615446065,546.4130615446065,566.8067220174511,586.8300990444461
17,579.3275833319491,579.3275833319491,586.8300990444461,606.1956702684291
18,611.9972383677848,611.9972383677848,628.938090388121,639.3328694045272
19,664.1531742590711,664.1531742590711,675.644548231388,692.1279838980661
20,704.0731122028692,704.0731122028692,717.3659280625257,735.8767280647776
21,756.9374601606789,756.9374601606789,759.6785200570342,778.0187235363566
22,791.3690897579979,791.3690897579979,793.4438226428028,811.61756089787
23,814.2309682466527,814.2309682466527,838.389489106899,853.6816627402507
24,856.1637935219121,856.1637935219121,859.8186002072944,875.2400940065328
25,880.8779907428118,880.8779907428118,889.4943720616739,907.281376929805
26,892.2053835741713,892.2053835741713,907.281376929805,923.5029800387572
27,941.000160698157,941.000160698157,957.888360445489,972.8438460664456
28,993.6961532796745,993.6961532796745,997.9273059061101,1012.0109918090296
29,1043.725521614501,1043.725521614501,1050.258320721106,1062.7569174393955
30,1098.6067654138694,1098.6067654138694,1145.1871805058645,1159.1129158215722
31,1144.5972294981755,1145.1871805058645,1161.3795770919146,1175.0088454941883
32,1187.9719221522805,1187.9719221522805,1191.8379182728954,1204.727500141697
33,1232.237536170671,1232.237536170671,1235.9705703506138,1247.546616252395
34,1243.7842342341391,1243.7842342341391,1248.1675668705366,1267.7923431561578
35,1297.288911159234,1297.288911159234,1310.4286192534407,1331.046874433912
36,1328.5786965361954,1328.5786965361954,1332.5741744767358,1354.1645833653463
37,1375.1277152941925,1375.1277152941925,1385.412876607121,1404.6117636854344
38,1396.1659426817037,1396.1659426817037,1404.6117636854344,1423.4673727154802
39,1448.4698410617157,1448.4698410617157,1455.1786837695777,1473.5836419992975
40,1467.8920542751741,1467.8920542751741,1484.7376014795914,1506.0194170703787
41,1511.7255393133134,1511.7255393133134,1514.8980361931342,1534.499302419374
42,1562.5829149745468,1562.5829149745468,1564.8162495806882,1584.8859568644234
43,1607.2348607263866,1607.2348607263866,1609.4478302315524,1621.2372065430877
44,1649.5760059626798,1649.5760059626798,1649.679938482953,1663.8675906987976
45,1668.966767744592,1668.966767744592,1675.5219126192403,1693.3546487486074
46,1723.642797466759,1723.642797466759,1753.5791436136615,1770.683038624912
47,1739.4567032846678,1753.5791436136615,1770.683038624912,1794.3693220826929
48,1759.7146134787758,1759.7146134787758,1794.3693220826929,1808.7980940520645
49,1770.9963027276538,1770.9963027276538,1808.7980940520645,1823.0993958562726
50,1794.71046836409,1794.71046836409,1823.0993958562726,1843.079556368021
51,1826.4341971522076,1826.4341971522076,1843.079556368021,1860.1184542561955
52,1855.4375150078058,1855.4375150078058,1925.237370799753,1940.3590304278246
53,1887.613022904851,1925.237370799753,1940.3590304278246,1959.6424752834016
54,1929.4778109858646,1932.8540399395267,1959.6424752834016,1973.5112254518986
55,1946.336515648345,1946.336515648345,1977.5217424341904,1996.0943827406031
56,1980.103016629002,1980.103016629002,1996.0943827406031,2009.4420111548739
57,2024.5011567099039,2024.5011567099039,2034.1467864325896,2046.6893583384765
58,2074.735195620105,2074.735195620105,2081.568555797584,2095.4473976158956
59,2100.906001461813,2100.906001461813,2129.546282975004,2154.1484068583045
60,2157.0664092249817,2157.0664092249817,2157.6277124321336,2168.4415719642057
61,2206.827289944689,2206.827289944689,2219.885504948701,2238.87794482756
62,2263.263272077304,2263.263272077304,2273.8697736696154,2288.879981777566
63,2291.3030654037025,2291.3030654037025,2319.623541913971,2332.1458522060457
64,2331.1077977845875,2331.1077977845875,2339.3500762839676,2350.631590611942
65,2363.6338571896717,2363.6338571896717,2372.2569549219547,2389.3574662998685
66,2376.7592948128763,2376.7592948128763,2389.3574662998685,2404.474268625443
67,2420.384469086465,2420.384469086465,2447.381150878136,2467.5623352588577
68,2431.831335256506,2447.381150878136,2467.5623352588577,2484.812818704585
69,2463.7771688585403,2463.7771688585403,2484.812818704585,2500.69282216359
70,2484.659364197054,2484.659364197054,2501.8124671888186,2517.4566085640204
71,2514.1981649293853,2514.1981649293853,2519.0912121283613,2530.3452116135245
