# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:41
# parameter: seed = 1896547
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       9.273,     2,Finish(1),before,   1,   0,   0,   1,   0
       9.273,     2,Finish(1), after,   2,   0,   0,   0,   1
      24.386,     3,Finish(2),before,   1,   0,   0,   0,   1
      24.386,     3,Finish(2), after,   1,   0,   0,   0,   0
      40.942,     1,  Arrival,before,   0,   0,   0,   0,   0
      40.942,     1,  Arrival, after,   2,   0,   0,   1,   0
      44.577,     5,Finish(1),before,   1,   0,   0,   1,   0
      44.577,     5,Finish(1), after,   2,   0,   0,   0,   1
      61.404,     6,Finish(2),before,   1,   0,   0,   0,   1
      61.404,     6,Finish(2), after,   1,   0,   0,   0,   0
      83.850,     4,  Arrival,before,   0,   0,   0,   0,   0
      83.850,     4,  Arrival, after,   2,   0,   0,   1,   0
      85.842,     8,Finish(1),before,   1,   0,   0,   1,   0
      85.842,     8,Finish(1), after,   2,   0,   0,   0,   1
     103.728,     9,Finish(2),before,   1,   0,   0,   0,   1
     103.728,     9,Finish(2), after,   1,   0,   0,   0,   0
     139.998,     7,  Arrival,before,   0,   0,   0,   0,   0
     139.998,     7,  Arrival, after,   2,   0,   0,   1,   0
     144.812,    11,Finish(1),before,   1,   0,   0,   1,   0
     144.812,    11,Finish(1), after,   2,   0,   0,   0,   1
     156.571,    12,Finish(2),before,   1,   0,   0,   0,   1
     156.571,    12,Finish(2), after,   1,   0,   0,   0,   0
     173.721,    10,  Arrival,before,   0,   0,   0,   0,   0
     173.721,    10,  Arrival, after,   2,   0,   0,   1,   0
     190.760,    13,  Arrival,before,   1,   0,   0,   1,   0
     190.760,    13,  Arrival, after,   2,   1,   0,   1,   0
     193.745,    14,Finish(1),before,   1,   1,   0,   1,   0
     193.745,    14,Finish(1), after,   3,   0,   0,   1,   1
     201.579,    16,Finish(1),before,   2,   0,   0,   1,   1
     201.579,    16,Finish(1), after,   2,   0,   1,   0,   1
     209.382,    17,Finish(2),before,   1,   0,   1,   0,   1
