# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:43
# parameter: seed = 1896579
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       2.801,     2,Finish(1),before,   1,   0,   0,   1,   0
       2.801,     2,Finish(1), after,   2,   0,   0,   0,   1
      16.182,     1,  Arrival,before,   1,   0,   0,   0,   1
      16.182,     1,  Arrival, after,   3,   0,   0,   1,   1
      16.308,     5,Finish(1),before,   2,   0,   0,   1,   1
      16.308,     5,Finish(1), after,   2,   0,   1,   0,   1
      18.933,     3,Finish(2),before,   1,   0,   1,   0,   1
      18.933,     3,Finish(2), after,   2,   0,   0,   0,   1
      31.894,     6,Finish(2),before,   1,   0,   0,   0,   1
      31.894,     6,Finish(2), after,   1,   0,   0,   0,   0
      56.916,     4,  Arrival,before,   0,   0,   0,   0,   0
      56.916,     4,  Arrival, after,   2,   0,   0,   1,   0
      74.124,     8,Finish(1),before,   1,   0,   0,   1,   0
      74.124,     8,Finish(1), after,   2,   0,   0,   0,   1
      89.360,     9,Finish(2),before,   1,   0,   0,   0,   1
      89.360,     9,Finish(2), after,   1,   0,   0,   0,   0
      93.832,     7,  Arrival,before,   0,   0,   0,   0,   0
      93.832,     7,  Arrival, after,   2,   0,   0,   1,   0
     118.371,    11,Finish(1),before,   1,   0,   0,   1,   0
     118.371,    11,Finish(1), after,   2,   0,   0,   0,   1
     130.731,    12,Finish(2),before,   1,   0,   0,   0,   1
     130.731,    12,Finish(2), after,   1,   0,   0,   0,   0
     150.272,    10,  Arrival,before,   0,   0,   0,   0,   0
     150.272,    10,  Arrival, after,   2,   0,   0,   1,   0
     152.388,    14,Finish(1),before,   1,   0,   0,   1,   0
     152.388,    14,Finish(1), after,   2,   0,   0,   0,   1
     165.420,    15,Finish(2),before,   1,   0,   0,   0,   1
     165.420,    15,Finish(2), after,   1,   0,   0,   0,   0
     187.320,    13,  Arrival,before,   0,   0,   0,   0,   0
     187.320,    13,  Arrival, after,   2,   0,   0,   1,   0
     190.584,    17,Finish(1),before,   1,   0,   0,   1,   0
