# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:47
# parameter: seed = 1896632
# parameter: T = 30000.0
# parameter: lower_interarrival = 11.0
# parameter: upper_interarrival = 59.0
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      15.417,     2,Finish(1),before,   1,   0,   0,   1,   0
      15.417,     2,Finish(1), after,   2,   0,   0,   0,   1
      36.541,     3,Finish(2),before,   1,   0,   0,   0,   1
      36.541,     3,Finish(2), after,   1,   0,   0,   0,   0
      48.672,     1,  Arrival,before,   0,   0,   0,   0,   0
      48.672,     1,  Arrival, after,   2,   0,   0,   1,   0
      67.674,     5,Finish(1),before,   1,   0,   0,   1,   0
      67.674,     5,Finish(1), after,   2,   0,   0,   0,   1
      80.236,     6,Finish(2),before,   1,   0,   0,   0,   1
      80.236,     6,Finish(2), after,   1,   0,   0,   0,   0
      88.808,     4,  Arrival,before,   0,   0,   0,   0,   0
      88.808,     4,  Arrival, after,   2,   0,   0,   1,   0
     107.054,     8,Finish(1),before,   1,   0,   0,   1,   0
     107.054,     8,Finish(1), after,   2,   0,   0,   0,   1
     113.369,     7,  Arrival,before,   1,   0,   0,   0,   1
     113.369,     7,  Arrival, after,   3,   0,   0,   1,   1
     115.842,    11,Finish(1),before,   2,   0,   0,   1,   1
     115.842,    11,Finish(1), after,   2,   0,   1,   0,   1
     120.835,     9,Finish(2),before,   1,   0,   1,   0,   1
     120.835,     9,Finish(2), after,   2,   0,   0,   0,   1
     136.043,    12,Finish(2),before,   1,   0,   0,   0,   1
     136.043,    12,Finish(2), after,   1,   0,   0,   0,   0
     141.433,    10,  Arrival,before,   0,   0,   0,   0,   0
     141.433,    10,  Arrival, after,   2,   0,   0,   1,   0
     157.140,    14,Finish(1),before,   1,   0,   0,   1,   0
     157.140,    14,Finish(1), after,   2,   0,   0,   0,   1
     173.857,    15,Finish(2),before,   1,   0,   0,   0,   1
     173.857,    15,Finish(2), after,   1,   0,   0,   0,   0
     184.621,    13,  Arrival,before,   0,   0,   0,   0,   0
     184.621,    13,  Arrival, after,   2,   0,   0,   1,   0
     197.213,    17,Finish(1),before,   1,   0,   0,   1,   0
